,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
57,3.309,EXP CELL RES,5,0,0,0,1,1,0,1,2,0,0,0,Journal of Molecular Cell Biology
58,4.692,EXPERT OPIN DRUG DIS,5,0,0,1,4,0,0,0,0,0,0,0,Journal of Molecular Cell Biology
59,4.530,FEBS J,5,0,2,0,0,1,0,2,0,0,0,0,Journal of Molecular Cell Biology
60,2.959,J CELL BIOCHEM,5,0,0,1,1,1,0,1,0,1,0,0,Journal of Molecular Cell Biology
61,4.401,J CELL SCI,5,0,2,0,0,0,1,1,1,0,0,0,Journal of Molecular Cell Biology
62,4.224,J LEUKOCYTE BIOL,5,0,0,1,1,2,1,0,0,0,0,0,Journal of Molecular Cell Biology
63,4.368,J VIROL,5,0,0,0,3,0,1,1,0,0,0,0,Journal of Molecular Cell Biology
64,3.563,MOL CELL ENDOCRINOL,5,0,0,1,1,1,0,2,0,0,0,0,Journal of Molecular Cell Biology
65,2.976,ONCOL REP,5,0,0,0,0,4,0,1,0,0,0,0,Journal of Molecular Cell Biology
66,8.973,AGEING RES REV,4,0,1,1,2,0,0,0,0,0,0,0,Journal of Molecular Cell Biology
67,7.627,AGING CELL,4,0,0,0,1,1,0,2,0,0,0,0,Journal of Molecular Cell Biology
68,6.042,ANAL CHEM,4,0,0,0,0,2,0,0,2,0,0,0,Journal of Molecular Cell Biology
69,2.997,BIOCHEMISTRY-US,4,0,0,1,0,1,0,0,2,0,0,0,Journal of Molecular Cell Biology
70,2.213,BMC BIOINFORMATICS,4,0,0,1,1,0,0,2,0,0,0,0,Journal of Molecular Cell Biology
71,6.142,BREAST CANCER RES,4,1,0,0,0,0,0,3,0,0,0,0,Journal of Molecular Cell Biology
72,6.810,BRIT J PHARMACOL,4,0,2,0,0,2,0,0,0,0,0,0,Journal of Molecular Cell Biology
73,2.392,CANCER BIOMARK,4,0,0,1,0,1,1,1,0,0,0,0,Journal of Molecular Cell Biology
74,3.304,CELL CYCLE,4,0,0,1,1,0,0,1,0,1,0,0,Journal of Molecular Cell Biology
75,4.462,CELL DISCOV,4,1,0,0,1,0,1,1,0,0,0,0,Journal of Molecular Cell Biology
76,4.761,CELL ONCOL,4,0,0,0,1,1,1,1,0,0,0,0,Journal of Molecular Cell Biology
77,3.043,CELL TISSUE RES,4,0,1,0,1,0,0,0,1,1,0,0,Journal of Molecular Cell Biology
78,3.262,DEV BIOL,4,0,1,2,0,0,1,0,0,0,0,0,Journal of Molecular Cell Biology
79,3.961,ENDOCRINOLOGY,4,0,2,2,0,0,0,0,0,0,0,0,Journal of Molecular Cell Biology
80,1.410,EXP THER MED,4,0,0,1,0,1,1,1,0,0,0,0,Journal of Molecular Cell Biology
81,4.300,FRONT CELL NEUROSCI,4,0,0,0,2,0,2,0,0,0,0,0,Journal of Molecular Cell Biology
82,3.902,FRONT MOL NEUROSCI,4,0,0,1,1,0,2,0,0,0,0,0,Journal of Molecular Cell Biology
83,2.498,GENE,4,0,1,2,1,0,0,0,0,0,0,0,Journal of Molecular Cell Biology
84,17.016,GUT,4,0,0,0,1,0,2,0,0,1,0,0,Journal of Molecular Cell Biology
85,3.247,INT J BIOCHEM CELL B,4,0,0,1,0,0,1,2,0,0,0,0,Journal of Molecular Cell Biology
86,3.249,J CANCER,4,0,1,0,1,0,2,0,0,0,0,0,Journal of Molecular Cell Biology
87,8.784,J CELL BIOL,4,0,1,0,0,1,0,1,0,1,0,0,Journal of Molecular Cell Biology
88,4.302,J CELL MOL MED,4,0,1,0,2,0,0,0,0,1,0,0,Journal of Molecular Cell Biology
89,3.923,J CELL PHYSIOL,4,0,1,0,2,1,0,0,0,0,0,0,Journal of Molecular Cell Biology
90,2.645,MINI-REV MED CHEM,4,0,0,0,2,1,1,0,0,0,0,0,Journal of Molecular Cell Biology
91,7.776,MOL CANCER,4,0,2,0,0,0,0,1,1,0,0,0,Journal of Molecular Cell Biology
92,5.227,NEUROBIOL DIS,4,0,0,0,1,1,0,1,0,1,0,0,Journal of Molecular Cell Biology
93,3.532,PROTEOMICS,4,0,1,1,2,0,0,0,0,0,0,0,Journal of Molecular Cell Biology
94,3.086,REPRODUCTION,4,0,2,0,0,0,0,1,1,0,0,0,Journal of Molecular Cell Biology
95,5.216,RNA BIOL,4,0,1,1,1,1,0,0,0,0,0,0,Journal of Molecular Cell Biology
96,5.587,STEM CELLS,4,0,0,0,0,0,3,1,0,0,0,0,Journal of Molecular Cell Biology
97,,TUMOR BIOL,4,0,1,0,1,0,0,2,0,0,0,0,Journal of Molecular Cell Biology
98,3.300,WORLD J GASTROENTERO,4,0,1,0,0,1,1,0,1,0,0,0,Journal of Molecular Cell Biology
99,8.097,ACS APPL MATER INTER,3,0,1,0,0,0,0,0,0,1,0,1,Journal of Molecular Cell Biology
100,1.760,ADV EXP MED BIOL,3,0,0,0,1,1,0,1,0,0,0,0,Journal of Molecular Cell Biology
