,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
61,5.091,J COLLOID INTERF SCI,81,1,13,18,6,12,1,9,11,5,2,3,Acta Biomaterialia
62,2.683,J TISSUE ENG,81,3,11,5,13,17,9,5,8,4,4,2,Acta Biomaterialia
63,12.354,BONE RES,79,10,6,13,11,10,11,8,8,2,0,0,Acta Biomaterialia
64,1.704,METALS-BASEL,78,2,2,3,6,9,11,14,19,5,5,2,Acta Biomaterialia
65,7.346,ADV COLLOID INTERFAC,77,2,14,12,10,11,4,6,5,4,6,3,Acta Biomaterialia
66,1.397,J APPL BIOMATER FUNC,76,1,7,9,13,10,8,10,7,5,5,1,Acta Biomaterialia
67,5.005,NANOMEDICINE-UK,75,4,10,16,10,9,8,6,4,4,2,2,Acta Biomaterialia
68,,IOP C SER-MAT SCI,72,1,2,2,9,7,6,11,17,6,10,1,Acta Biomaterialia
69,13.709,ACS NANO,71,6,16,11,9,4,5,5,3,5,6,1,Acta Biomaterialia
70,2.583,BIOMED RES INT,70,2,5,13,10,16,4,6,5,8,1,0,Acta Biomaterialia
71,3.095,DRUG DELIV,70,5,16,17,10,9,3,6,2,0,2,0,Acta Biomaterialia
72,4.841,J IND ENG CHEM,69,0,10,1,8,10,6,10,12,8,1,3,Acta Biomaterialia
73,3.667,EUR CELLS MATER,66,0,10,11,8,9,12,4,7,2,1,2,Acta Biomaterialia
74,,MAT DEV BON DISXB,66,0,0,5,5,8,16,12,11,2,3,4,Acta Biomaterialia
75,5.068,J BIOMED NANOTECHNOL,64,6,6,18,7,6,6,4,5,2,2,2,Acta Biomaterialia
76,2.297,J DRUG DELIV SCI TEC,62,5,7,6,9,7,4,7,4,6,5,2,Acta Biomaterialia
77,2.690,MACROMOL MATER ENG,62,1,6,8,6,8,7,5,8,8,3,2,Acta Biomaterialia
78,3.414,MAT SCI ENG A-STRUCT,61,1,4,8,2,3,13,7,9,5,5,4,Acta Biomaterialia
79,3.212,BIOMECH MODEL MECHAN,60,2,7,11,10,10,4,9,1,0,3,3,Acta Biomaterialia
80,23.750,PROG MATER SCI,58,0,4,6,5,8,9,8,9,6,2,1,Acta Biomaterialia
81,3.794,J EUR CERAM SOC,57,1,1,5,0,8,6,12,8,5,7,4,Acta Biomaterialia
82,5.553,EXPERT OPIN DRUG DEL,56,1,7,17,7,6,6,4,3,4,1,0,Acta Biomaterialia
83,,STUD MECHANOBIOL TIS,56,0,1,5,10,11,13,8,4,2,0,2,Acta Biomaterialia
