,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
47,9.163,PLOS BIOL,30,0,4,2,4,2,1,3,3,0,2,9,NATURE REVIEWS MOLECULAR CELL BIOLOGY
48,23.290,CELL STEM CELL,29,1,1,6,5,3,3,2,1,1,6,0,NATURE REVIEWS MOLECULAR CELL BIOLOGY
49,3.262,DEV BIOL,29,0,2,3,1,2,3,3,2,1,3,9,NATURE REVIEWS MOLECULAR CELL BIOLOGY
50,4.907,STRUCTURE,29,0,2,4,1,2,2,6,1,3,2,6,NATURE REVIEWS MOLECULAR CELL BIOLOGY
51,18.564,TRENDS CELL BIOL,29,0,6,4,2,3,2,3,1,1,0,7,NATURE REVIEWS MOLECULAR CELL BIOLOGY
52,9.247,CSH PERSPECT BIOL,28,3,0,3,2,9,1,7,3,0,0,0,NATURE REVIEWS MOLECULAR CELL BIOLOGY
53,14.319,NEURON,28,1,4,3,3,4,2,2,3,0,2,4,NATURE REVIEWS MOLECULAR CELL BIOLOGY
54,4.461,DNA REPAIR,26,0,1,4,7,0,0,1,3,1,3,6,NATURE REVIEWS MOLECULAR CELL BIOLOGY
55,4.075,GENETICS,26,0,2,2,0,1,2,1,1,0,0,17,NATURE REVIEWS MOLECULAR CELL BIOLOGY
56,13.214,GENOME BIOL,26,0,1,7,2,5,2,5,1,1,0,2,NATURE REVIEWS MOLECULAR CELL BIOLOGY
57,6.854,ONCOGENE,26,0,1,3,1,1,1,0,2,1,0,16,NATURE REVIEWS MOLECULAR CELL BIOLOGY
58,20.565,CELL METAB,25,0,4,3,5,4,2,3,3,0,0,1,NATURE REVIEWS MOLECULAR CELL BIOLOGY
59,3.857,BIOCHEM J,24,0,2,3,2,0,0,2,4,1,1,9,NATURE REVIEWS MOLECULAR CELL BIOLOGY
60,19.734,IMMUNITY,24,0,5,1,1,2,1,3,0,0,0,11,NATURE REVIEWS MOLECULAR CELL BIOLOGY
61,22.844,CANCER CELL,23,0,2,5,3,3,3,2,1,0,0,4,NATURE REVIEWS MOLECULAR CELL BIOLOGY
62,9.032,ANNU REV CELL DEV BI,21,0,2,2,5,1,2,2,3,0,0,4,NATURE REVIEWS MOLECULAR CELL BIOLOGY
63,10.790,J EXP MED,21,0,0,2,0,0,2,4,1,1,1,10,NATURE REVIEWS MOLECULAR CELL BIOLOGY
64,42.784,NAT REV CANCER,21,0,1,3,3,0,1,5,1,3,0,4,NATURE REVIEWS MOLECULAR CELL BIOLOGY
65,2.559,BIOCHEM BIOPH RES CO,20,0,0,2,0,1,1,1,2,3,0,10,NATURE REVIEWS MOLECULAR CELL BIOLOGY
66,3.304,CELL CYCLE,20,0,1,3,5,0,1,2,2,0,3,3,NATURE REVIEWS MOLECULAR CELL BIOLOGY
67,3.309,EXP CELL RES,20,1,0,1,0,0,0,0,0,1,0,17,NATURE REVIEWS MOLECULAR CELL BIOLOGY
68,19.912,NAT NEUROSCI,20,1,3,5,3,3,0,1,2,1,0,1,NATURE REVIEWS MOLECULAR CELL BIOLOGY
69,5.179,BBA-GENE REGUL MECH,19,0,2,1,1,4,4,0,0,1,0,6,NATURE REVIEWS MOLECULAR CELL BIOLOGY
70,15.393,CELL RES,18,0,1,2,9,1,1,4,0,0,0,0,NATURE REVIEWS MOLECULAR CELL BIOLOGY
71,5.971,J NEUROSCI,18,2,1,1,5,3,0,0,3,0,1,2,NATURE REVIEWS MOLECULAR CELL BIOLOGY
72,14.357,J AM CHEM SOC,17,0,1,3,5,4,1,1,1,0,0,1,NATURE REVIEWS MOLECULAR CELL BIOLOGY
73,5.236,MOL CELL PROTEOMICS,17,0,1,2,3,2,2,1,0,2,0,4,NATURE REVIEWS MOLECULAR CELL BIOLOGY
74,35.724,NAT BIOTECHNOL,17,0,0,6,2,1,1,2,1,0,0,4,NATURE REVIEWS MOLECULAR CELL BIOLOGY
75,21.809,NAT IMMUNOL,16,1,2,1,2,0,1,2,0,1,1,5,NATURE REVIEWS MOLECULAR CELL BIOLOGY
76,32.621,NAT MED,16,0,2,2,1,0,4,3,0,0,0,4,NATURE REVIEWS MOLECULAR CELL BIOLOGY
77,2.210,NUCLEUS-PHILA,16,1,4,0,3,2,2,2,2,0,0,0,NATURE REVIEWS MOLECULAR CELL BIOLOGY
78,15.211,CIRC RES,14,0,5,2,1,1,0,0,1,0,1,3,NATURE REVIEWS MOLECULAR CELL BIOLOGY
79,7.179,CURR OPIN STRUC BIOL,14,0,3,1,2,4,1,1,0,1,0,1,NATURE REVIEWS MOLECULAR CELL BIOLOGY
80,2.999,FEBS LETT,14,1,0,0,3,1,3,0,2,0,0,4,NATURE REVIEWS MOLECULAR CELL BIOLOGY
81,4.539,J IMMUNOL,14,0,0,1,2,1,1,0,0,1,1,7,NATURE REVIEWS MOLECULAR CELL BIOLOGY
82,4.505,J LIPID RES,14,0,1,2,0,2,0,1,1,1,0,6,NATURE REVIEWS MOLECULAR CELL BIOLOGY
83,12.102,ANGEW CHEM INT EDIT,13,0,1,5,2,0,1,0,2,0,1,1,NATURE REVIEWS MOLECULAR CELL BIOLOGY
84,9.589,ANNU REV GENET,13,0,0,1,1,2,2,0,0,0,1,6,NATURE REVIEWS MOLECULAR CELL BIOLOGY
85,8.806,BIOMATERIALS,13,3,0,3,2,0,1,2,0,0,0,2,NATURE REVIEWS MOLECULAR CELL BIOLOGY
86,6.721,CELL MOL LIFE SCI,13,1,2,2,2,1,0,1,0,0,2,2,NATURE REVIEWS MOLECULAR CELL BIOLOGY
87,5.595,FASEB J,13,0,1,1,1,2,0,0,1,3,1,3,NATURE REVIEWS MOLECULAR CELL BIOLOGY
88,4.368,J VIROL,13,0,1,1,0,0,0,2,0,0,0,9,NATURE REVIEWS MOLECULAR CELL BIOLOGY
89,10.556,TRENDS GENET,13,0,2,3,1,1,0,2,0,0,2,2,NATURE REVIEWS MOLECULAR CELL BIOLOGY
90,4.592,ACS CHEM BIOL,12,0,1,3,3,2,1,0,0,0,1,1,NATURE REVIEWS MOLECULAR CELL BIOLOGY
91,4.995,CURR OPIN GENET DEV,12,0,2,0,3,0,0,3,0,0,0,4,NATURE REVIEWS MOLECULAR CELL BIOLOGY
92,5.351,EPIGENET CHROMATIN,12,0,0,2,2,2,3,1,2,0,0,0,NATURE REVIEWS MOLECULAR CELL BIOLOGY
93,6.378,SCI SIGNAL,12,0,0,3,1,2,1,2,0,3,0,0,NATURE REVIEWS MOLECULAR CELL BIOLOGY
94,5.844,WIRES RNA,12,0,3,3,0,1,2,2,1,0,0,0,NATURE REVIEWS MOLECULAR CELL BIOLOGY
95,5.359,HUM MUTAT,11,0,2,0,2,2,1,1,0,2,0,1,NATURE REVIEWS MOLECULAR CELL BIOLOGY
96,3.678,MOL ENDOCRINOL,11,0,0,0,1,1,0,0,0,0,1,8,NATURE REVIEWS MOLECULAR CELL BIOLOGY
97,79.260,NEW ENGL J MED,11,0,1,5,1,0,0,0,1,0,1,2,NATURE REVIEWS MOLECULAR CELL BIOLOGY
98,2.217,BIOL OPEN,10,0,0,2,2,2,4,0,0,0,0,0,NATURE REVIEWS MOLECULAR CELL BIOLOGY
99,17.872,CELL HOST MICROBE,10,0,3,2,0,2,1,1,1,0,0,0,NATURE REVIEWS MOLECULAR CELL BIOLOGY
100,3.110,CURR TOP DEV BIOL,10,0,2,1,2,0,2,0,1,0,2,0,NATURE REVIEWS MOLECULAR CELL BIOLOGY
