Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,977,12.354,12.187,9.051,2.700,30,2.4,6.0,0.002,1.765,76.67,0.28100,93.75000,Bone Research
2016,592,9.326,9.116,7.861,0.778,27,2.4,7.4,0.00153,1.480,66.67,0.17607,92.85700,Bone Research
2015,191,3.549,3.549,3.549,0.381,21,1.9,8.2,5.3E-4,0.687,80.95,0.06039,45.23800,Bone Research
2014,40,1.310,1.275,1.310,0.100,20,Not Available,7.3,1.4E-4,0.298,75.00,0.01538,7.14300,Bone Research
