,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
67,4.700,INORG CHEM,400,30,85,83,114,43,28,16,1,0,0,0,Nature Communications
68,3.589,OPT LETT,379,19,50,103,87,57,37,18,8,0,0,0,Nature Communications
69,30.067,ENERG ENVIRON SCI,376,11,88,122,80,52,11,10,2,0,0,0,Nature Communications
70,4.782,PHYS REV APPL,375,17,69,80,92,57,37,18,5,0,0,0,Nature Communications
71,4.439,APPL SURF SCI,352,4,33,97,100,64,27,17,7,0,0,3,Nature Communications
72,7.411,CHEMSUSCHEM,348,18,63,106,79,73,8,1,0,0,0,0,Nature Communications
73,3.680,ORG ELECTRON,346,1,41,83,116,75,21,6,1,0,0,2,Nature Communications
74,6.042,ANAL CHEM,341,21,79,70,77,54,23,14,3,0,0,0,Nature Communications
75,4.099,DALTON T,333,18,58,66,92,55,26,14,2,0,0,2,Nature Communications
76,4.834,ADV MATER INTERFACES,326,5,47,91,92,55,23,9,4,0,0,0,Nature Communications
77,1.653,AIP ADV,312,7,40,69,87,48,35,19,6,0,0,1,Nature Communications
78,12.441,ADV SCI,307,8,48,93,75,55,14,9,5,0,0,0,Nature Communications
79,5.466,ADV ELECTRON MATER,301,3,41,86,102,47,17,4,1,0,0,0,Nature Communications
80,9.251,CURR BIOL,299,37,63,79,55,36,17,10,2,0,0,0,Nature Communications
81,5.971,J NEUROSCI,299,17,89,73,58,37,16,6,3,0,0,0,Nature Communications
82,14.385,PHYS REV X,297,23,72,73,59,35,20,9,5,0,0,1,Nature Communications
83,5.914,MACROMOLECULES,287,11,42,66,72,52,17,22,5,0,0,0,Nature Communications
84,3.662,J ELECTROCHEM SOC,282,10,30,68,69,73,12,16,3,0,0,1,Nature Communications
85,5.540,PLOS GENET,282,20,67,74,66,25,11,13,3,0,0,3,Nature Communications
86,6.140,ACS SUSTAIN CHEM ENG,281,7,49,86,58,45,19,13,4,0,0,0,Nature Communications
87,0.669,ACTA PHYS SIN-CH ED,279,9,48,67,58,41,39,13,4,0,0,0,Nature Communications
88,39.235,NAT MATER,275,11,51,76,68,39,13,16,1,0,0,0,Nature Communications
89,3.730,BMC GENOMICS,270,11,47,62,95,35,7,13,0,0,0,0,Nature Communications
90,6.854,ONCOGENE,268,5,39,94,76,39,10,3,1,0,0,1,Nature Communications
91,5.413,DEVELOPMENT,267,18,46,84,67,27,13,8,4,0,0,0,Nature Communications
92,2.559,BIOCHEM BIOPH RES CO,265,23,61,58,60,39,16,5,1,1,0,1,Nature Communications
93,9.130,CANCER RES,262,12,61,79,68,27,8,7,0,0,0,0,Nature Communications
94,,PHYS REV MATER,257,22,59,61,45,38,19,9,4,0,0,0,Nature Communications
95,4.776,J MATER CHEM B,256,7,58,48,71,38,22,9,3,0,0,0,Nature Communications
96,1.321,CHINESE PHYS B,255,2,24,79,75,42,21,10,2,0,0,0,Nature Communications
97,,ACS OMEGA,250,8,41,76,55,35,18,12,5,0,0,0,Nature Communications
98,4.539,J IMMUNOL,247,12,56,67,60,36,9,5,2,0,0,0,Nature Communications
99,14.248,MOL CELL,247,28,72,77,41,22,5,2,0,0,0,0,Nature Communications
100,3.495,BIOPHYS J,245,20,68,63,50,20,14,5,5,0,0,0,Nature Communications
