,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
59,9.163,PLOS BIOL,158,2,20,18,10,21,15,10,6,3,5,48,CURRENT BIOLOGY
60,3.027,BMC EVOL BIOL,157,3,21,14,16,9,9,9,11,9,8,48,CURRENT BIOLOGY
61,5.775,PLANT J,156,2,8,12,7,11,14,11,9,8,9,65,CURRENT BIOLOGY
62,2.340,ECOL EVOL,153,2,11,11,12,12,14,13,7,14,11,46,CURRENT BIOLOGY
63,3.191,GENES-BASEL,150,4,12,9,9,11,7,11,5,0,5,77,CURRENT BIOLOGY
64,4.419,BIOESSAYS,146,5,15,19,10,9,4,10,8,10,9,47,CURRENT BIOLOGY
65,2.559,BIOCHEM BIOPH RES CO,145,1,3,4,10,2,4,3,6,4,7,101,CURRENT BIOLOGY
66,,NAT ECOL EVOL,145,8,17,26,12,17,15,9,3,8,4,26,CURRENT BIOLOGY
67,10.557,EMBO J,140,1,6,5,9,13,11,5,5,8,5,72,CURRENT BIOLOGY
68,2.889,NEUROPSYCHOLOGIA,140,0,2,11,10,6,13,13,11,15,11,48,CURRENT BIOLOGY
69,6.541,CURR OPIN NEUROBIOL,137,6,27,26,23,10,15,3,0,4,5,18,CURRENT BIOLOGY
70,3.940,GENOME BIOL EVOL,134,2,16,11,7,11,5,15,2,6,7,52,CURRENT BIOLOGY
71,1.900,MECH DEVELOP,134,0,8,12,13,12,8,3,5,6,3,64,CURRENT BIOLOGY
72,1.806,EXP BRAIN RES,133,0,1,1,6,5,13,9,8,11,12,67,CURRENT BIOLOGY
73,5.770,BMC BIOL,132,3,21,16,7,8,14,3,14,3,8,35,CURRENT BIOLOGY
74,2.217,BIOL OPEN,128,2,5,2,13,7,4,6,9,10,5,65,CURRENT BIOLOGY
75,3.818,EVOLUTION,126,1,14,11,8,9,14,8,8,7,9,37,CURRENT BIOLOGY
76,1.184,JOVE-J VIS EXP,125,0,9,7,6,9,15,8,14,5,6,46,CURRENT BIOLOGY
77,18.564,TRENDS CELL BIOL,124,4,8,7,18,12,10,7,7,7,5,39,CURRENT BIOLOGY
78,4.300,FRONT CELL NEUROSCI,120,5,8,11,11,7,6,4,11,4,10,43,CURRENT BIOLOGY
79,9.462,GENE DEV,120,0,5,6,2,5,10,4,14,7,5,62,CURRENT BIOLOGY
80,3.304,CELL CYCLE,119,2,4,10,10,7,9,3,10,7,4,53,CURRENT BIOLOGY
81,3.468,J COGNITIVE NEUROSCI,119,0,7,8,8,16,19,8,8,8,1,36,CURRENT BIOLOGY
82,14.248,MOL CELL,119,3,8,3,7,5,7,6,5,9,4,62,CURRENT BIOLOGY
83,11.700,BIOL REV,118,0,3,14,20,7,8,7,9,11,7,32,CURRENT BIOLOGY
84,3.394,FRONT PHYSIOL,118,5,6,9,8,4,12,5,6,9,9,45,CURRENT BIOLOGY
85,4.894,J MOL BIOL,117,2,6,4,9,4,5,1,8,4,3,71,CURRENT BIOLOGY
86,4.059,PLANT CELL PHYSIOL,117,1,9,6,5,8,5,15,9,8,4,47,CURRENT BIOLOGY
87,3.138,FRONT BEHAV NEUROSCI,116,7,17,16,4,10,7,7,10,10,7,21,CURRENT BIOLOGY
88,3.382,NEUROSCIENCE,115,0,4,15,13,11,5,10,9,6,5,37,CURRENT BIOLOGY
89,6.854,ONCOGENE,115,0,2,6,8,5,8,7,4,4,5,66,CURRENT BIOLOGY
90,5.511,FRONT IMMUNOL,114,1,6,4,4,3,10,4,4,8,1,69,CURRENT BIOLOGY
91,19.912,NAT NEUROSCI,113,8,18,24,14,16,5,4,5,4,2,13,CURRENT BIOLOGY
92,1.760,ADV EXP MED BIOL,112,0,0,1,2,5,6,3,4,7,5,79,CURRENT BIOLOGY
93,2.069,VISION RES,112,0,3,20,2,15,6,4,10,2,11,39,CURRENT BIOLOGY
94,9.032,ANNU REV CELL DEV BI,111,2,8,13,7,11,4,3,7,10,9,37,CURRENT BIOLOGY
95,,CURR OPIN BEHAV SCI,108,2,19,27,10,9,12,6,2,6,2,13,CURRENT BIOLOGY
96,4.171,CURR OPIN INSECT SCI,108,6,20,20,9,4,6,3,8,7,6,19,CURRENT BIOLOGY
97,4.540,J PHYSIOL-LONDON,108,2,10,7,17,5,11,4,4,2,7,39,CURRENT BIOLOGY
98,5.415,PLANT CELL ENVIRON,108,3,5,11,8,13,2,13,6,7,10,30,CURRENT BIOLOGY
99,35.612,NAT REV MOL CELL BIO,106,3,7,12,12,4,9,5,4,10,2,38,CURRENT BIOLOGY
100,,ENEURO,105,1,11,10,10,13,15,7,10,5,5,18,CURRENT BIOLOGY
