,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
63,12.423,NAT PROTOC,97,2,11,8,9,15,15,9,6,8,4,10,BIOMATERIALS
64,20.955,ACCOUNTS CHEM RES,95,0,4,11,10,16,10,22,3,7,11,1,BIOMATERIALS
65,23.290,CELL STEM CELL,94,1,10,15,12,8,13,7,9,14,4,1,BIOMATERIALS
66,3.495,BIOPHYS J,93,0,1,7,6,2,3,4,5,10,8,47,BIOMATERIALS
67,35.612,NAT REV MOL CELL BIO,92,0,4,2,14,4,4,11,4,9,7,33,BIOMATERIALS
68,5.971,J NEUROSCI,91,0,0,2,6,4,2,6,6,6,6,53,BIOMATERIALS
69,8.537,THERANOSTICS,89,1,27,16,13,18,13,1,0,0,0,0,BIOMATERIALS
70,26.919,NAT METHODS,87,0,10,8,7,10,16,9,5,4,3,15,BIOMATERIALS
71,2.936,RSC ADV,87,2,17,28,22,12,5,1,0,0,0,0,BIOMATERIALS
72,3.392,MACROMOL BIOSCI,85,2,3,5,11,11,9,12,11,4,2,15,BIOMATERIALS
73,5.595,FASEB J,83,1,5,3,4,2,2,9,2,2,2,51,BIOMATERIALS
74,3.709,SOFT MATTER,82,0,1,6,11,7,14,11,11,12,5,4,BIOMATERIALS
75, ,J BIOMED MATER RES,80,0,0,0,0,0,0,0,0,0,0,80,BIOMATERIALS
76,53.254,LANCET,78,0,11,3,5,3,8,5,2,3,5,33,BIOMATERIALS
77,6.500,NANOMED-NANOTECHNOL,78,2,11,13,10,13,11,4,4,2,2,6,BIOMATERIALS
78,4.069,AM J PATHOL,76,0,1,2,2,2,2,10,4,5,2,46,BIOMATERIALS
79,10.790,J EXP MED,74,0,0,1,0,1,2,4,5,3,2,56,BIOMATERIALS
80,13.578,TRENDS BIOTECHNOL,72,0,13,11,1,6,11,4,5,3,6,12,BIOMATERIALS
81,9.890,CHEM MATER,70,1,9,4,13,7,5,6,4,2,3,16,BIOMATERIALS
82,3.997,COLLOID SURFACE B,70,3,9,12,7,6,9,7,5,3,1,8,BIOMATERIALS
83,3.388,INVEST OPHTH VIS SCI,65,1,4,4,4,4,3,6,2,0,1,36,BIOMATERIALS
84,3.952,BIOTECHNOL BIOENG,64,0,5,3,5,6,11,3,2,4,4,21,BIOMATERIALS
85,2.792,SPINE,64,0,0,1,1,3,3,5,2,3,3,43,BIOMATERIALS
86,6.854,ONCOGENE,63,3,4,4,8,4,1,1,2,5,8,23,BIOMATERIALS
87,9.063,CHEM SCI,62,8,15,14,5,9,5,2,4,0,0,0,BIOMATERIALS
88, ,J MATER CHEM,62,0,0,0,0,0,15,18,11,5,2,11,BIOMATERIALS
89,4.089,J TISSUE ENG REGEN M,62,5,12,10,3,8,11,3,1,5,1,3,BIOMATERIALS
90,3.203,GENE THER,61,0,2,3,0,5,7,3,3,2,2,34,BIOMATERIALS
91,3.373,J BIOMED MATER RES B,61,0,6,6,4,3,8,0,5,5,3,21,BIOMATERIALS
92,7.273,DIABETES,59,0,5,4,1,7,2,3,2,1,3,31,BIOMATERIALS
93,6.086,ARTERIOSCL THROM VAS,58,0,0,3,5,3,5,5,3,7,1,26,BIOMATERIALS
94,2.448,J MATER SCI-MATER M,58,0,0,2,5,4,5,3,6,7,6,20,BIOMATERIALS
95,19.734,IMMUNITY,57,0,6,3,6,9,6,1,3,2,2,19,BIOMATERIALS
96,17.753,NANO TODAY,57,0,4,8,10,7,10,8,3,4,0,3,BIOMATERIALS
97,21.809,NAT IMMUNOL,57,0,2,5,2,5,5,5,5,3,2,23,BIOMATERIALS
98,3.285,VACCINE,57,2,1,0,4,5,6,8,10,6,2,13,BIOMATERIALS
99,6.314,J BONE MINER RES,56,0,2,0,4,1,2,3,4,2,3,35,BIOMATERIALS
100, ,METHOD MOL BIOL,56,2,5,4,5,9,7,7,9,0,2,6,BIOMATERIALS
