,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
57,4.122,SCI REP-UK,8,0,2,6,0,0,0,0,0,0,0,0,Pigment Cell & Melanoma Research
58,3.309,EXP CELL RES,7,0,0,2,0,0,0,0,0,0,0,5,Pigment Cell & Melanoma Research
59,5.595,FASEB J,7,0,0,0,0,1,1,0,1,0,1,3,Pigment Cell & Melanoma Research
60,4.416,FRONT ONCOL,7,0,0,3,1,1,2,0,0,0,0,0,Pigment Cell & Melanoma Research
61,13.214,GENOME BIOL,7,0,1,0,1,1,1,0,1,0,0,2,Pigment Cell & Melanoma Research
62,10.790,J EXP MED,7,0,3,0,1,0,0,0,0,0,1,2,Pigment Cell & Melanoma Research
63,4.197,J TRANSL MED,7,0,1,2,0,1,1,1,0,0,0,1,Pigment Cell & Melanoma Research
64,1.938,PHOTODERMATOL PHOTO,7,0,0,0,2,0,0,1,0,2,0,2,Pigment Cell & Melanoma Research
65,1.865,ANTICANCER RES,6,0,1,1,1,0,2,0,0,1,0,0,Pigment Cell & Melanoma Research
66,8.032,CELL REP,6,0,1,1,1,0,2,0,0,0,0,1,Pigment Cell & Melanoma Research
67,10.557,EMBO J,6,0,0,0,1,0,0,0,0,0,0,5,Pigment Cell & Melanoma Research
68,2.564,GEN COMP ENDOCR,6,0,0,0,0,0,0,0,2,0,0,4,Pigment Cell & Melanoma Research
69,5.359,HUM MUTAT,6,0,0,0,0,1,0,0,2,0,0,3,Pigment Cell & Melanoma Research
70,4.539,J IMMUNOL,6,0,1,0,2,0,1,0,0,1,0,1,Pigment Cell & Melanoma Research
71,8.107,JAMA DERMATOL,6,0,1,3,1,1,0,0,0,0,0,0,Pigment Cell & Melanoma Research
72,3.813,MOL CELL BIOL,6,0,0,0,0,0,1,0,0,0,0,5,Pigment Cell & Melanoma Research
73,5.264,MOL ONCOL,6,0,1,1,1,1,0,0,0,0,2,0,Pigment Cell & Melanoma Research
74,2.214,PHOTOCHEM PHOTOBIOL,6,1,1,0,0,0,0,0,0,0,2,2,Pigment Cell & Melanoma Research
75,2.264,AM J MED GENET A,5,0,1,0,1,1,0,0,0,2,0,0,Pigment Cell & Melanoma Research
76,5.878,AM J SURG PATHOL,5,0,0,0,2,1,1,0,0,0,1,0,Pigment Cell & Melanoma Research
77,4.419,BIOESSAYS,5,1,0,0,0,0,0,0,0,0,0,4,Pigment Cell & Melanoma Research
78,6.721,CELL MOL LIFE SCI,5,1,0,1,0,1,1,0,0,1,0,0,Pigment Cell & Melanoma Research
79,1.484,CLIN EXP DERMATOL,5,0,1,1,0,0,0,0,0,0,0,3,Pigment Cell & Melanoma Research
80,9.616,DEV CELL,5,0,1,2,0,0,1,1,0,0,0,0,Pigment Cell & Melanoma Research
81,2.498,GENE,5,0,1,0,0,0,0,0,0,0,0,4,Pigment Cell & Melanoma Research
82,10.101,GENOME RES,5,0,0,0,1,0,2,0,0,1,0,1,Pigment Cell & Melanoma Research
83,3.125,HUM PATHOL,5,0,1,0,0,0,0,1,0,0,0,3,Pigment Cell & Melanoma Research
84,1.541,INT J DERMATOL,5,0,0,0,1,0,0,0,1,0,0,3,Pigment Cell & Melanoma Research
85,3.388,INVEST OPHTH VIS SCI,5,0,0,0,1,1,1,1,0,0,1,0,Pigment Cell & Melanoma Research
86,4.287,J EUR ACAD DERMATOL,5,0,0,3,0,0,1,0,0,0,0,1,Pigment Cell & Melanoma Research
87,1.184,JOVE-J VIS EXP,5,0,0,0,1,2,0,0,1,1,0,0,Pigment Cell & Melanoma Research
88,6.655,MODERN PATHOL,5,0,0,1,0,0,0,0,0,0,1,3,Pigment Cell & Melanoma Research
89,12.423,NAT PROTOC,5,0,1,0,1,0,0,0,0,2,1,0,Pigment Cell & Melanoma Research
90,41.465,NAT REV GENET,5,0,0,0,0,0,0,0,0,1,2,2,Pigment Cell & Melanoma Research
91,16.710,SCI TRANSL MED,5,0,0,2,2,0,0,1,0,0,0,0,Pigment Cell & Melanoma Research
92,1.733,ZEBRAFISH,5,0,0,0,0,0,0,0,0,3,2,0,Pigment Cell & Melanoma Research
93,3.127,ACTA DERM-VENEREOL,4,1,2,1,0,0,0,0,0,0,0,0,Pigment Cell & Melanoma Research
94,1.529,ANN HUM GENET,4,0,0,0,0,0,0,1,0,1,0,2,Pigment Cell & Melanoma Research
95,4.277,ANN NY ACAD SCI,4,0,0,0,0,0,0,0,0,1,0,3,Pigment Cell & Melanoma Research
96,9.589,ANNU REV GENET,4,0,0,0,0,0,0,0,0,0,0,4,Pigment Cell & Melanoma Research
97,2.728,CANCER CAUSE CONTROL,4,0,0,0,0,0,0,0,0,0,0,4,Pigment Cell & Melanoma Research
98,6.081,CANCER METAST REV,4,0,0,0,0,0,1,1,0,0,0,2,Pigment Cell & Melanoma Research
99,3.304,CELL CYCLE,4,0,0,0,0,0,0,0,0,1,0,3,Pigment Cell & Melanoma Research
100,10.015,CURR OPIN CELL BIOL,4,0,0,2,0,1,0,0,0,0,0,1,Pigment Cell & Melanoma Research
