,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
56,41.058,SCIENCE,183,7,20,19,21,18,13,7,9,8,7,54,NATURE NEUROSCIENCE
57,3.500,SOC COGN AFFECT NEUR,182,2,8,8,8,6,15,14,6,13,7,95,NATURE NEUROSCIENCE
58,15.557,TRENDS COGN SCI,182,7,16,20,21,18,13,11,5,6,6,59,NATURE NEUROSCIENCE
59,14.675,ANNU REV NEUROSCI,180,1,24,15,21,19,9,14,13,6,15,43,NATURE NEUROSCIENCE
60,4.483,EXP NEUROL,179,3,5,15,15,9,15,9,15,13,7,73,NATURE NEUROSCIENCE
61,41.577,NATURE,179,1,24,20,20,21,11,10,14,15,4,39,NATURE NEUROSCIENCE
62,9.163,PLOS BIOL,175,1,15,19,13,9,17,10,11,6,9,65,NATURE NEUROSCIENCE
63,,ONCOTARGET,174,2,20,16,5,25,5,11,11,12,9,58,NATURE NEUROSCIENCE
64,6.306,BRAIN BEHAV IMMUN,171,3,10,28,17,18,16,9,6,2,6,56,NATURE NEUROSCIENCE
65,4.011,J BIOL CHEM,171,0,7,10,10,10,16,13,10,15,7,73,NATURE NEUROSCIENCE
66,5.227,NEUROBIOL DIS,170,1,6,9,17,6,10,10,9,15,9,78,NATURE NEUROSCIENCE
67,3.161,NEURAL PLAST,168,1,7,4,5,10,15,11,6,7,10,92,NATURE NEUROSCIENCE
68,2.073,FRONT COMPUT NEUROSC,163,6,12,8,7,16,11,9,6,10,3,75,NATURE NEUROSCIENCE
69,11.439,TRENDS NEUROSCI,163,3,18,20,21,15,9,12,8,9,6,42,NATURE NEUROSCIENCE
70,3.152,FRONT NEUROANAT,162,3,11,10,10,18,7,8,11,10,7,67,NATURE NEUROSCIENCE
71,,CURR OPIN BEHAV SCI,160,8,21,27,9,23,13,5,6,9,1,38,NATURE NEUROSCIENCE
72,2.277,NEUROSCI RES,160,4,10,14,14,11,9,14,13,15,8,48,NATURE NEUROSCIENCE
73,4.902,HUM MOL GENET,156,3,14,26,18,15,9,13,10,12,6,30,NATURE NEUROSCIENCE
74,3.966,HIPPOCAMPUS,155,0,4,18,7,11,22,13,4,11,7,58,NATURE NEUROSCIENCE
75,5.413,DEVELOPMENT,154,3,4,14,6,10,15,10,24,8,7,53,NATURE NEUROSCIENCE
76,,FRONT SYST NEUROSCI,149,5,19,8,16,16,16,6,6,9,9,39,NATURE NEUROSCIENCE
77,1.806,EXP BRAIN RES,147,0,0,4,5,4,8,7,4,6,5,104,NATURE NEUROSCIENCE
78,31.398,CELL,146,4,21,16,22,20,7,4,8,8,2,34,NATURE NEUROSCIENCE
79,6.721,CELL MOL LIFE SCI,142,0,9,10,13,7,5,9,7,10,7,65,NATURE NEUROSCIENCE
80,2.598,DEV NEUROBIOL,138,0,6,6,11,9,10,7,11,9,7,62,NATURE NEUROSCIENCE
81,2.234,NEURAL REGEN RES,136,0,17,6,7,9,7,5,9,15,8,53,NATURE NEUROSCIENCE
82,10.848,BRAIN,133,4,5,13,13,22,14,9,5,7,2,39,NATURE NEUROSCIENCE
83,3.222,PSYCHOPHARMACOLOGY,126,0,6,6,12,6,9,5,12,5,2,63,NATURE NEUROSCIENCE
84,13.251,J CLIN INVEST,125,5,11,14,15,13,7,5,8,5,6,36,NATURE NEUROSCIENCE
85,2.289,J EXP PSYCHOL HUMAN,125,0,3,6,11,4,1,6,4,6,13,71,NATURE NEUROSCIENCE
86,2.559,BIOCHEM BIOPH RES CO,123,0,5,6,13,5,12,9,9,5,4,55,NATURE NEUROSCIENCE
87,7.461,NEUROSCIENTIST,120,1,9,12,13,11,5,5,7,13,6,38,NATURE NEUROSCIENCE
88,2.671,LEARN MEMORY,119,1,4,14,7,10,3,7,9,5,6,53,NATURE NEUROSCIENCE
89,2.757,CURR PHARM DESIGN,118,0,4,6,13,8,6,5,9,9,13,45,NATURE NEUROSCIENCE
90,6.537,STEM CELL REP,118,4,12,6,10,9,7,3,11,10,7,39,NATURE NEUROSCIENCE
91,24.014,PHYSIOL REV,117,0,3,7,5,13,12,11,12,3,3,48,NATURE NEUROSCIENCE
92,3.312,MOL CELL NEUROSCI,115,2,8,7,6,4,7,4,7,8,2,60,NATURE NEUROSCIENCE
93,5.578,ADDICT BIOL,113,0,0,1,7,9,7,8,2,12,5,62,NATURE NEUROSCIENCE
94,3.440,BRAIN RES BULL,113,0,4,7,3,3,7,5,10,5,8,61,NATURE NEUROSCIENCE
95,5.559,PAIN,112,1,7,13,17,8,17,4,4,4,2,35,NATURE NEUROSCIENCE
96,3.174,PROG BRAIN RES,112,0,3,3,6,12,10,3,4,9,8,54,NATURE NEUROSCIENCE
97,,CONSCIOUS COGN,111,0,2,2,4,2,1,6,0,2,6,86,NATURE NEUROSCIENCE
98,5.193,J NEUROINFLAMM,110,0,11,7,13,19,5,7,3,2,4,39,NATURE NEUROSCIENCE
99,2.824,HEARING RES,109,0,1,0,1,0,3,6,18,11,3,66,NATURE NEUROSCIENCE
100,4.211,ACS CHEM NEUROSCI,108,2,7,11,8,5,8,3,9,2,9,44,NATURE NEUROSCIENCE
