,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
69,12.423,NAT PROTOC,25,1,1,1,4,4,1,1,0,3,3,6,Autophagy
70,15.211,CIRC RES,24,0,0,7,1,0,3,2,5,1,0,5,Autophagy
71,6.020,FREE RADICAL BIO MED,24,0,2,0,1,4,0,7,1,1,0,8,Autophagy
72,41.982,NAT REV IMMUNOL,24,1,4,1,2,7,0,2,0,0,2,5,Autophagy
73,6.530,ANTIOXID REDOX SIGN,23,0,0,2,5,1,5,6,0,1,0,3,Autophagy
74,2.997,BIOCHEMISTRY-US,23,1,0,0,0,0,0,1,4,0,3,14,Autophagy
75,3.309,EXP CELL RES,23,0,0,4,2,4,2,1,2,2,2,4,Autophagy
76,1.984,METHOD ENZYMOL,23,0,0,0,1,0,0,0,0,12,4,6,Autophagy
77,32.635,NAT REV NEUROSCI,23,0,3,3,1,2,1,2,1,1,0,9,Autophagy
78,3.125,BRAIN RES,22,0,3,2,2,0,2,0,1,5,0,7,Autophagy
79,7.273,DIABETES,22,1,1,0,0,3,1,1,0,1,1,13,Autophagy
80,10.790,J EXP MED,22,0,0,1,1,1,1,2,0,0,0,16,Autophagy
81,50.167,NAT REV DRUG DISCOV,22,0,1,1,2,1,7,0,3,1,1,5,Autophagy
82,24.373,CANCER DISCOV,21,0,0,5,9,4,3,0,0,0,0,0,Autophagy
83,5.595,FASEB J,21,0,2,2,0,1,1,3,1,1,1,9,Autophagy
84,15.132,BLOOD,20,0,1,2,1,1,4,2,2,1,2,4,Autophagy
85,3.247,INT J BIOCHEM CELL B,20,0,2,3,3,0,2,0,1,0,0,9,Autophagy
86, ,METHOD MOL BIOL,20,1,0,1,4,4,3,2,1,1,0,3,Autophagy
87,13.333,NAT STRUCT MOL BIOL,20,0,0,3,5,6,2,2,1,0,0,1,Autophagy
88,20.154,ANNU REV BIOCHEM,19,0,1,2,0,0,4,3,0,3,1,5,Autophagy
89,5.108,BBA-MOL BASIS DIS,19,1,0,4,1,3,4,0,0,1,2,3,Autophagy
90,7.616,ELIFE,19,2,3,5,7,2,0,0,0,0,0,0,Autophagy
91,3.950,J PROTEOME RES,19,0,1,0,6,1,2,0,2,4,0,3,Autophagy
92,6.378,SCI SIGNAL,19,0,2,0,2,3,6,0,3,3,0,0,Autophagy
93,15.876,ACTA NEUROPATHOL,18,0,3,1,2,3,4,2,1,1,0,1,Autophagy
94,5.481,BIOINFORMATICS,18,0,0,3,1,0,2,0,2,4,0,6,Autophagy
95,6.491,CANCER LETT,18,0,2,7,0,1,1,2,0,3,1,1,Autophagy
96,4.454,NEUROBIOL AGING,18,0,0,1,6,2,2,1,0,0,0,6,Autophagy
97,8.806,BIOMATERIALS,17,0,3,3,2,3,3,0,1,1,0,1,Autophagy
98,18.881,CIRCULATION,17,0,2,2,2,0,3,2,0,2,0,4,Autophagy
99,4.530,FEBS J,17,1,2,3,1,1,0,1,3,3,0,2,Autophagy
100,4.075,GENETICS,17,0,0,1,0,1,0,2,0,0,0,13,Autophagy
