Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"13,275",9.247,9.139,12.208,1.906,96,5.3,9.7,0.049,5.634,100.00,5.76500,89.73700,Cold Spring Harbor Perspectives in Biology
2016,"11,216",8.769,8.315,11.850,0.835,85,4.7,9.2,0.05616,5.675,100.00,6.44678,89.73700,Cold Spring Harbor Perspectives in Biology
2015,"9,184",9.173,8.723,11.277,1.696,138,4.1,8.7,0.05855,5.438,100.00,6.67386,90.64200,Cold Spring Harbor Perspectives in Biology
2014,"7,817",8.679,8.422,11.319,1.615,122,3.5,6.9,0.05777,5.406,100.00,6.47012,87.22800,Cold Spring Harbor Perspectives in Biology
2013,"5,419",8.226,8.070,10.054,1.248,153,3.0,7.7,0.04529,5.228,100.00,4.99226,84.59500,Cold Spring Harbor Perspectives in Biology
2012,"3,921",9.630,9.481,10.367,0.884,155,2.4,6.9,0.03472,5.446,100.00,Not Available,89.45900,Cold Spring Harbor Perspectives in Biology
2011,"2,379",9.402,9.147,9.402,1.766,141,1.7,7.3,0.02279,5.548,100.00,Not Available,89.77900,Cold Spring Harbor Perspectives in Biology
2010,553,5.371,3.032,5.371,1.340,162,1.2,7.0,0.00262,2.174,100.00,Not Available,75.00000,Cold Spring Harbor Perspectives in Biology
