,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
64,,SIGNAL COMMUN PLANTS,125,0,9,4,12,8,7,5,3,8,12,57,PLANT CELL
65,5.497,BIOTECHNOL BIOFUELS,123,2,4,3,17,18,14,5,4,7,3,46,PLANT CELL
66,5.413,DEVELOPMENT,118,0,7,7,13,10,3,4,5,5,5,59,PLANT CELL
67,4.011,J BIOL CHEM,113,0,4,6,12,10,6,4,10,4,3,54,PLANT CELL
68,9.616,DEV CELL,110,6,3,5,7,8,15,10,3,6,5,42,PLANT CELL
69,3.889,FUNCT INTEGR GENOMIC,109,0,0,3,7,8,6,8,2,5,17,53,PLANT CELL
70,4.269,PLANT METHODS,103,0,4,4,13,6,7,5,5,4,5,50,PLANT CELL
71,6.162,CRIT REV PLANT SCI,102,1,1,1,3,5,7,5,5,7,4,63,PLANT CELL
72,1.844,PLANT MOL BIOL REP,102,0,0,1,5,1,7,11,5,7,6,59,PLANT CELL
73,3.039,RICE,101,0,5,4,3,9,7,4,5,6,6,52,PLANT CELL
74,3.306,PLANT SOIL,100,0,1,1,5,4,15,5,8,3,3,55,PLANT CELL
75,1.546,EUPHYTICA,99,0,0,1,6,1,6,8,4,8,4,61,PLANT CELL
76,2.047,J PLANT GROWTH REGUL,99,0,0,3,5,7,4,6,4,7,2,61,PLANT CELL
77,2.118,PEERJ,98,1,0,2,5,8,5,3,4,7,8,55,PLANT CELL
78,2.742,G3-GENES GENOM GENET,97,0,2,4,5,2,3,4,6,5,1,65,PLANT CELL
79,4.075,GENETICS,96,3,2,5,4,10,9,3,2,7,7,44,PLANT CELL
80,4.974,ENVIRON MICROBIOL,94,0,0,3,2,1,5,4,15,7,2,55,PLANT CELL
81,2.734,MOL GENET GENOMICS,92,0,0,0,6,5,5,11,3,6,4,52,PLANT CELL
82,3.368,HORTIC RES-ENGLAND,91,0,0,2,4,9,6,8,3,3,4,52,PLANT CELL
83,3.722,J PROTEOMICS,89,0,2,1,3,6,1,8,7,4,3,54,PLANT CELL
84,5.770,BMC BIOL,87,1,7,3,4,6,7,3,4,5,5,42,PLANT CELL
85,1.419,AGRONOMY-BASEL,86,0,2,3,4,3,5,6,6,5,7,45,PLANT CELL
86,2.696,CURR PROTEIN PEPT SC,85,0,0,0,2,7,7,4,4,7,3,51,PLANT CELL
87,10.217,MOL BIOL EVOL,85,0,4,6,8,1,8,6,4,6,4,38,PLANT CELL
88,1.151,PHYSIOL MOL BIOL PLA,85,0,1,2,2,2,2,0,3,2,5,66,PLANT CELL
89,5.239,CRIT REV BIOTECHNOL,83,0,1,3,8,9,5,12,6,10,3,26,PLANT CELL
90,0.680,GENES GENOM,83,0,1,1,4,2,3,6,7,4,6,49,PLANT CELL
91,1.255,BIOSCI BIOTECH BIOCH,82,0,2,3,1,3,6,9,3,12,4,39,PLANT CELL
92,3.940,GENOME BIOL EVOL,82,0,5,9,6,4,5,3,3,5,6,36,PLANT CELL
93,,PLANT MACR US EFFXB,82,0,2,1,6,5,4,5,4,9,2,44,PLANT CELL
94,3.857,BIOCHEM J,81,1,3,1,5,9,6,4,4,4,4,40,PLANT CELL
95,1.829,TREE GENET GENOMES,80,0,0,0,4,4,2,3,3,3,5,56,PLANT CELL
96,3.394,FRONT PHYSIOL,79,0,1,1,4,4,7,5,7,7,6,37,PLANT CELL
97,1.466,EUR J PLANT PATHOL,78,0,2,2,2,5,3,4,6,2,2,50,PLANT CELL
98,3.186,PHYTOCHEMISTRY,77,0,1,3,3,9,5,8,5,3,3,37,PLANT CELL
99,3.036,PHYTOPATHOLOGY,76,1,2,1,2,4,5,5,7,7,6,36,PLANT CELL
100,3.098,MOLECULES,74,0,2,3,1,6,0,1,0,4,2,55,PLANT CELL
