,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
52,32.635,NAT REV NEUROSCI,668,3,40,53,42,57,44,51,37,38,39,264,JOURNAL OF NEUROSCIENCE
53,4.011,J BIOL CHEM,657,9,9,22,42,40,53,51,53,40,30,308,JOURNAL OF NEUROSCIENCE
54,2.772,NEUROCHEM RES,651,1,12,15,31,29,27,41,36,48,44,367,JOURNAL OF NEUROSCIENCE
55,3.152,FRONT NEUROANAT,634,6,20,33,33,32,28,32,35,36,32,347,JOURNAL OF NEUROSCIENCE
56,2.598,DEV NEUROBIOL,627,0,8,21,26,37,41,31,34,44,22,363,JOURNAL OF NEUROSCIENCE
57,4.907,CORTEX,626,4,20,38,53,55,39,70,51,62,29,205,JOURNAL OF NEUROSCIENCE
58,3.138,FRONT BEHAV NEUROSCI,626,5,17,23,29,37,35,40,37,36,43,324,JOURNAL OF NEUROSCIENCE
59,2.824,HEARING RES,590,1,28,57,30,48,63,50,30,51,22,210,JOURNAL OF NEUROSCIENCE
60,4.454,NEUROBIOL AGING,586,2,24,31,38,48,45,25,42,37,31,263,JOURNAL OF NEUROSCIENCE
61,3.161,NEURAL PLAST,579,4,21,33,29,33,36,32,34,32,24,301,JOURNAL OF NEUROSCIENCE
62,3.312,MOL CELL NEUROSCI,578,2,14,29,28,35,32,21,38,23,29,327,JOURNAL OF NEUROSCIENCE
63,3.966,HIPPOCAMPUS,562,3,14,29,24,36,31,39,35,27,23,301,JOURNAL OF NEUROSCIENCE
64,6.306,BRAIN BEHAV IMMUN,557,3,22,36,39,44,40,50,31,33,28,231,JOURNAL OF NEUROSCIENCE
65,3.508,FRONT NEUROL,547,2,20,26,35,23,21,44,36,31,21,288,JOURNAL OF NEUROSCIENCE
66,3.222,PSYCHOPHARMACOLOGY,520,2,12,14,34,39,21,40,27,28,28,275,JOURNAL OF NEUROSCIENCE
67,,FRONT SYST NEUROSCI,512,5,19,38,37,30,22,28,22,28,21,262,JOURNAL OF NEUROSCIENCE
68,4.902,HUM MOL GENET,504,1,14,23,37,39,48,47,39,27,27,202,JOURNAL OF NEUROSCIENCE
69,2.234,NEURAL REGEN RES,502,8,18,24,32,30,23,31,39,23,34,240,JOURNAL OF NEUROSCIENCE
70,5.193,J NEUROINFLAMM,496,8,18,32,31,34,32,37,29,37,28,210,JOURNAL OF NEUROSCIENCE
71,1.806,EXP BRAIN RES,494,1,11,31,25,29,27,47,31,31,26,235,JOURNAL OF NEUROSCIENCE
72,11.640,MOL PSYCHIATR,494,0,9,24,35,41,37,38,40,29,31,210,JOURNAL OF NEUROSCIENCE
73,3.831,FRONT PHARMACOL,489,7,11,25,19,28,29,25,25,20,35,265,JOURNAL OF NEUROSCIENCE
74,3.440,BRAIN RES BULL,486,0,3,13,17,24,20,26,21,25,34,303,JOURNAL OF NEUROSCIENCE
75,10.848,BRAIN,484,5,20,34,41,44,39,33,35,29,19,185,JOURNAL OF NEUROSCIENCE
76,4.691,TRANSL PSYCHIAT,479,1,17,21,26,32,32,34,31,30,34,221,JOURNAL OF NEUROSCIENCE
77,2.757,CURR PHARM DESIGN,466,2,10,23,23,18,26,30,33,26,32,243,JOURNAL OF NEUROSCIENCE
78,5.666,PHILOS T R SOC B,466,0,9,20,24,42,34,40,45,36,29,187,JOURNAL OF NEUROSCIENCE
79,24.014,PHYSIOL REV,455,1,12,19,17,16,23,31,41,25,30,240,JOURNAL OF NEUROSCIENCE
80,5.559,PAIN,454,3,11,33,15,29,23,29,21,37,38,215,JOURNAL OF NEUROSCIENCE
81,3.500,SOC COGN AFFECT NEUR,448,2,9,32,27,40,41,42,37,42,21,155,JOURNAL OF NEUROSCIENCE
82,2.266,J VISION,446,3,15,33,44,37,30,28,24,21,16,195,JOURNAL OF NEUROSCIENCE
83,2.517,PHYSIOL BEHAV,440,0,3,19,30,24,13,31,26,23,14,257,JOURNAL OF NEUROSCIENCE
84,2.671,LEARN MEMORY,435,1,7,25,21,26,20,27,22,18,19,249,JOURNAL OF NEUROSCIENCE
85,2.559,BIOCHEM BIOPH RES CO,428,2,16,18,26,29,25,26,30,23,29,204,JOURNAL OF NEUROSCIENCE
86,4.211,ACS CHEM NEUROSCI,420,2,15,19,20,23,26,25,29,26,21,214,JOURNAL OF NEUROSCIENCE
87,3.869,NEUROIMAGE-CLIN,403,1,9,20,29,30,20,46,37,42,27,142,JOURNAL OF NEUROSCIENCE
88,5.578,ADDICT BIOL,402,0,2,10,23,31,27,26,31,21,27,204,JOURNAL OF NEUROSCIENCE
89,11.439,TRENDS NEUROSCI,400,4,25,29,30,33,35,26,29,32,26,131,JOURNAL OF NEUROSCIENCE
90,6.721,CELL MOL LIFE SCI,393,2,9,14,19,18,27,39,29,29,24,183,JOURNAL OF NEUROSCIENCE
91,5.002,J NEUROTRAUM,391,0,6,28,28,24,19,32,12,18,19,205,JOURNAL OF NEUROSCIENCE
92,6.045,J CEREBR BLOOD F MET,385,2,9,31,29,29,33,28,25,26,25,148,JOURNAL OF NEUROSCIENCE
93,2.277,NEUROSCI RES,376,1,7,20,27,17,21,30,31,24,22,176,JOURNAL OF NEUROSCIENCE
94,6.426,MOL NEURODEGENER,369,4,14,20,20,25,25,29,24,20,25,163,JOURNAL OF NEUROSCIENCE
95,14.675,ANNU REV NEUROSCI,368,1,13,27,21,43,28,27,18,17,17,156,JOURNAL OF NEUROSCIENCE
96,9.163,PLOS BIOL,362,4,9,21,30,31,34,35,26,31,12,129,JOURNAL OF NEUROSCIENCE
97,5.413,DEVELOPMENT,355,2,10,11,14,22,27,26,25,24,21,173,JOURNAL OF NEUROSCIENCE
98,15.557,TRENDS COGN SCI,352,7,31,38,32,31,29,30,33,29,13,79,JOURNAL OF NEUROSCIENCE
99,7.461,NEUROSCIENTIST,343,0,10,33,27,25,26,32,23,28,24,115,JOURNAL OF NEUROSCIENCE
100,,CURR OPIN BEHAV SCI,341,7,24,23,43,39,25,35,26,18,6,95,JOURNAL OF NEUROSCIENCE
