,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
56,20.565,CELL METAB,10,0,1,1,0,0,0,2,0,1,3,2,Annual Review of Cell and Developmental Biology
57,9.247,CSH PERSPECT BIOL,10,0,0,0,1,3,1,4,1,0,0,0,Annual Review of Cell and Developmental Biology
58,13.843,NAT CHEM BIOL,10,1,1,1,3,3,0,1,0,0,0,0,Annual Review of Cell and Developmental Biology
59,4.490,RNA,10,2,2,1,0,2,0,0,0,0,1,2,Annual Review of Cell and Developmental Biology
60,2.217,BIOL OPEN,9,0,1,2,0,3,3,0,0,0,0,0,Annual Review of Cell and Developmental Biology
61,2.507,DEV DYNAM,9,0,2,0,1,0,0,1,1,0,2,2,Annual Review of Cell and Developmental Biology
62,8.749,EMBO REP,9,1,0,0,1,0,1,1,3,1,0,1,Annual Review of Cell and Developmental Biology
63,19.912,NAT NEUROSCI,9,1,1,1,1,1,0,0,0,1,3,0,Annual Review of Cell and Developmental Biology
64,9.032,ANNU REV CELL DEV BI,8,0,0,0,1,1,0,1,0,1,1,3,Annual Review of Cell and Developmental Biology
65,2.997,BIOCHEMISTRY-US,8,0,0,1,0,0,0,0,1,0,0,6,Annual Review of Cell and Developmental Biology
66,4.902,HUM MOL GENET,8,0,1,1,0,0,2,1,0,2,1,0,Annual Review of Cell and Developmental Biology
67,35.724,NAT BIOTECHNOL,8,0,1,2,1,3,1,0,0,0,0,0,Annual Review of Cell and Developmental Biology
68,10.556,TRENDS GENET,8,0,0,0,0,0,0,1,2,0,0,5,Annual Review of Cell and Developmental Biology
69,8.000,CELL DEATH DIFFER,7,1,3,0,0,0,1,0,0,0,0,2,Annual Review of Cell and Developmental Biology
70,4.248,EUR J IMMUNOL,7,0,2,0,1,0,0,1,1,1,0,1,Annual Review of Cell and Developmental Biology
71,3.400,J COMP NEUROL,7,0,1,1,0,1,1,1,1,0,0,1,Annual Review of Cell and Developmental Biology
72,5.186,J INFECT DIS,7,1,0,1,2,0,1,1,1,0,0,0,Annual Review of Cell and Developmental Biology
73,2.130,NEURAL DEV,7,1,0,0,0,1,0,0,1,2,1,1,Annual Review of Cell and Developmental Biology
74,4.651,BBA-MOL CELL RES,6,0,0,0,3,3,0,0,0,0,0,0,Annual Review of Cell and Developmental Biology
75,2.559,BIOCHEM BIOPH RES CO,6,0,1,1,0,0,0,0,0,1,1,2,Annual Review of Cell and Developmental Biology
76, ,BIOCHIM BIOPHYS ACTA,6,0,0,0,0,1,0,0,0,0,0,5,Annual Review of Cell and Developmental Biology
77,7.932,CURR OPIN IMMUNOL,6,0,1,0,2,1,0,1,0,1,0,0,Annual Review of Cell and Developmental Biology
78,5.971,J NEUROSCI,6,0,0,0,0,0,0,0,0,1,1,4,Annual Review of Cell and Developmental Biology
79,32.621,NAT MED,6,0,2,0,0,0,0,0,0,0,0,4,Annual Review of Cell and Developmental Biology
80,41.982,NAT REV IMMUNOL,6,0,1,1,1,0,0,0,2,0,0,1,Annual Review of Cell and Developmental Biology
81,3.394,BIOCHEM SOC T,5,0,1,2,0,1,0,0,0,0,0,1,Annual Review of Cell and Developmental Biology
82,4.419,BIOESSAYS,5,1,0,1,0,0,0,1,1,1,0,0,Annual Review of Cell and Developmental Biology
83,4.021,CHROMOSOMA,5,0,0,0,1,0,0,0,0,0,0,4,Annual Review of Cell and Developmental Biology
84, ,EUKARYOT CELL,5,0,0,0,0,1,0,1,0,0,1,2,Annual Review of Cell and Developmental Biology
85,2.939,EUR J CELL BIOL,5,1,0,1,0,0,0,0,0,0,0,3,Annual Review of Cell and Developmental Biology
86,4.530,FEBS J,5,1,0,0,0,2,1,0,0,1,0,0,Annual Review of Cell and Developmental Biology
87,5.511,FRONT IMMUNOL,5,0,1,3,1,0,0,0,0,0,0,0,Annual Review of Cell and Developmental Biology
88,3.677,FRONT PLANT SCI,5,0,0,0,3,2,0,0,0,0,0,0,Annual Review of Cell and Developmental Biology
89,2.094,IMMUNOGENETICS,5,0,5,0,0,0,0,0,0,0,0,0,Annual Review of Cell and Developmental Biology
90,5.236,MOL CELL PROTEOMICS,5,0,0,0,1,2,1,0,0,0,0,1,Annual Review of Cell and Developmental Biology
91, ,P NATL ACAD SCI-BIOL,5,0,0,0,0,0,0,0,0,0,0,5,Annual Review of Cell and Developmental Biology
92,24.014,PHYSIOL REV,5,0,0,0,0,0,2,0,1,0,0,2,Annual Review of Cell and Developmental Biology
93,4.907,STRUCTURE,5,0,2,1,0,1,1,0,0,0,0,0,Annual Review of Cell and Developmental Biology
94,4.966,BBA-MOL CELL BIOL L,4,0,1,1,0,0,1,0,0,0,0,1,Annual Review of Cell and Developmental Biology
95,3.857,BIOCHEM J,4,0,0,0,0,0,0,0,0,0,0,4,Annual Review of Cell and Developmental Biology
96,3.543,BIOL SEX DIFFER,4,0,0,0,2,2,0,0,0,0,0,0,Annual Review of Cell and Developmental Biology
97,2.213,BMC BIOINFORMATICS,4,1,1,0,1,0,0,0,0,0,0,1,Annual Review of Cell and Developmental Biology
98,17.872,CELL HOST MICROBE,4,0,3,0,0,0,1,0,0,0,0,0,Annual Review of Cell and Developmental Biology
99, ,CELL MOTIL CYTOSKEL,4,0,0,0,0,0,0,0,0,1,0,3,Annual Review of Cell and Developmental Biology
100,15.393,CELL RES,4,0,1,0,1,0,0,2,0,0,0,0,Annual Review of Cell and Developmental Biology
