,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
59,8.000,CELL DEATH DIFFER,19,1,2,2,1,3,1,1,0,3,1,4,NATURE CELL BIOLOGY
60,3.309,EXP CELL RES,19,0,3,1,0,2,0,1,1,1,0,10,NATURE CELL BIOLOGY
61,79.260,NEW ENGL J MED,19,2,0,0,0,5,1,1,3,4,0,3,NATURE CELL BIOLOGY
62,24.373,CANCER DISCOV,18,3,3,4,4,2,2,0,0,0,0,0,NATURE CELL BIOLOGY
63,41.982,NAT REV IMMUNOL,18,0,0,7,1,2,3,1,1,1,0,2,NATURE CELL BIOLOGY
64,14.319,NEURON,18,0,0,0,3,2,1,3,3,0,0,6,NATURE CELL BIOLOGY
65,4.075,GENETICS,17,0,1,2,0,1,1,0,1,0,1,10,NATURE CELL BIOLOGY
66,8.855,AM J HUM GENET,16,2,0,3,0,1,0,3,0,0,2,5,NATURE CELL BIOLOGY
67,9.247,CSH PERSPECT BIOL,16,0,0,1,2,4,3,4,1,1,0,0,NATURE CELL BIOLOGY
68,2.999,FEBS LETT,16,0,1,1,1,1,1,0,2,2,1,6,NATURE CELL BIOLOGY
69,4.894,J MOL BIOL,16,0,1,1,1,1,0,0,1,0,3,8,NATURE CELL BIOLOGY
70,6.378,SCI SIGNAL,16,0,0,4,3,4,0,3,1,1,0,0,NATURE CELL BIOLOGY
71,6.537,STEM CELL REP,16,0,6,5,3,2,0,0,0,0,0,0,NATURE CELL BIOLOGY
72,3.304,CELL CYCLE,15,0,1,2,2,1,1,1,0,3,2,2,NATURE CELL BIOLOGY
73,19.912,NAT NEUROSCI,15,0,4,1,2,1,0,0,5,0,0,2,NATURE CELL BIOLOGY
74,15.678,TRENDS BIOCHEM SCI,15,2,2,2,3,1,0,1,1,1,0,2,NATURE CELL BIOLOGY
75,6.721,CELL MOL LIFE SCI,14,0,4,0,2,2,0,2,0,1,0,3,NATURE CELL BIOLOGY
76,10.199,CLIN CANCER RES,14,0,3,1,1,0,2,0,1,1,2,3,NATURE CELL BIOLOGY
77,4.902,HUM MOL GENET,14,0,1,0,2,2,0,3,3,0,1,2,NATURE CELL BIOLOGY
78,39.235,NAT MATER,14,0,3,2,3,2,0,3,0,0,0,1,NATURE CELL BIOLOGY
