,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
50,14.163,PROG NEUROBIOL,152,0,4,13,13,9,10,14,11,4,9,65,NATURE REVIEWS NEUROSCIENCE
51,2.662,J NEUROSCI RES,151,1,1,9,9,8,10,12,11,14,3,73,NATURE REVIEWS NEUROSCIENCE
52,3.468,J COGNITIVE NEUROSCI,149,0,6,5,3,2,8,11,11,15,15,73,NATURE REVIEWS NEUROSCIENCE
53,3.869,NEUROIMAGE-CLIN,149,0,3,12,7,14,8,6,7,31,10,51,NATURE REVIEWS NEUROSCIENCE
54,4.540,J PHYSIOL-LONDON,138,1,3,7,12,7,15,7,8,10,11,57,NATURE REVIEWS NEUROSCIENCE
55,6.306,BRAIN BEHAV IMMUN,136,1,1,14,15,3,18,10,9,9,24,32,NATURE REVIEWS NEUROSCIENCE
56,10.848,BRAIN,135,4,7,12,10,7,11,6,10,13,5,50,NATURE REVIEWS NEUROSCIENCE
57,5.846,GLIA,131,1,1,10,18,11,5,10,15,3,6,51,NATURE REVIEWS NEUROSCIENCE
58,3.400,J COMP NEUROL,130,0,1,7,6,15,8,1,10,18,9,55,NATURE REVIEWS NEUROSCIENCE
59,15.557,TRENDS COGN SCI,124,5,7,10,10,7,10,3,13,13,5,41,NATURE REVIEWS NEUROSCIENCE
60,3.508,FRONT NEUROL,123,4,2,10,4,8,12,7,6,15,4,51,NATURE REVIEWS NEUROSCIENCE
61,4.731,PSYCHONEUROENDOCRINO,119,2,0,2,3,2,7,8,5,38,14,38,NATURE REVIEWS NEUROSCIENCE
62,4.454,NEUROBIOL AGING,117,2,5,8,6,4,21,4,2,10,3,52,NATURE REVIEWS NEUROSCIENCE
63,3.161,NEURAL PLAST,116,0,5,4,7,8,2,6,7,16,2,59,NATURE REVIEWS NEUROSCIENCE
64,5.227,NEUROBIOL DIS,111,1,5,8,1,23,7,7,2,9,7,41,NATURE REVIEWS NEUROSCIENCE
65,,CONSCIOUS COGN,108,3,15,4,8,5,6,3,18,12,6,28,NATURE REVIEWS NEUROSCIENCE
66,2.757,CURR PHARM DESIGN,106,0,4,3,8,10,3,10,7,10,3,48,NATURE REVIEWS NEUROSCIENCE
67,1.806,EXP BRAIN RES,105,1,0,1,1,3,3,5,16,4,12,59,NATURE REVIEWS NEUROSCIENCE
68,,CURR OPIN BEHAV SCI,104,1,9,11,14,2,7,4,3,18,4,31,NATURE REVIEWS NEUROSCIENCE
69,4.483,EXP NEUROL,104,4,2,0,4,8,5,5,11,5,9,51,NATURE REVIEWS NEUROSCIENCE
70,2.559,BIOCHEM BIOPH RES CO,103,3,0,10,6,12,2,7,8,1,6,48,NATURE REVIEWS NEUROSCIENCE
71,11.439,TRENDS NEUROSCI,103,0,7,12,8,9,10,5,11,9,5,27,NATURE REVIEWS NEUROSCIENCE
72,,FRONT SYST NEUROSCI,100,0,6,2,8,4,10,4,6,8,12,40,NATURE REVIEWS NEUROSCIENCE
73,3.966,HIPPOCAMPUS,100,0,7,3,8,3,6,8,9,8,7,41,NATURE REVIEWS NEUROSCIENCE
74,2.772,NEUROCHEM RES,99,1,1,2,6,7,3,4,3,7,9,56,NATURE REVIEWS NEUROSCIENCE
75,5.666,PHILOS T R SOC B,97,0,4,7,5,13,3,6,8,5,3,43,NATURE REVIEWS NEUROSCIENCE
76,2.455,PSYCHIAT RES-NEUROIM,93,1,6,7,3,7,3,7,4,13,4,38,NATURE REVIEWS NEUROSCIENCE
