,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
51,27.125,NAT GENET,35,2,0,0,3,2,3,1,1,1,1,21,NATURE REVIEWS NEUROSCIENCE
52,32.621,NAT MED,34,1,3,1,3,3,4,2,2,4,5,6,NATURE REVIEWS NEUROSCIENCE
53,4.711,NEUROREHAB NEURAL RE,33,0,6,5,3,7,4,2,0,2,3,1,NATURE REVIEWS NEUROSCIENCE
54,2.871,FRONT HUM NEUROSCI,32,0,1,7,11,12,0,1,0,0,0,0,NATURE REVIEWS NEUROSCIENCE
55,4.122,SCI REP-UK,32,2,19,5,3,1,2,0,0,0,0,0,NATURE REVIEWS NEUROSCIENCE
56,4.277,ANN NY ACAD SCI,31,0,0,4,0,0,2,1,0,2,6,16,NATURE REVIEWS NEUROSCIENCE
57,3.614,CLIN NEUROPHYSIOL,31,0,3,2,3,2,1,1,0,1,1,17,NATURE REVIEWS NEUROSCIENCE
58,2.517,PHYSIOL BEHAV,31,1,2,1,1,0,0,5,1,0,0,20,NATURE REVIEWS NEUROSCIENCE
59, ,ARCH GEN PSYCHIAT,30,0,0,0,0,0,1,2,0,0,0,27,NATURE REVIEWS NEUROSCIENCE
60,9.163,PLOS BIOL,30,0,1,8,1,2,1,3,2,2,1,9,NATURE REVIEWS NEUROSCIENCE
61,10.557,EMBO J,29,3,3,1,2,2,2,3,2,1,0,10,NATURE REVIEWS NEUROSCIENCE
62,2.159,NEUROSCI LETT,28,1,3,1,1,0,0,0,0,4,0,18,NATURE REVIEWS NEUROSCIENCE
63,3.222,PSYCHOPHARMACOLOGY,27,0,4,0,1,1,0,1,1,1,1,17,NATURE REVIEWS NEUROSCIENCE
64, ,AM J PHYSIOL,26,0,0,0,0,0,0,0,0,0,0,26,NATURE REVIEWS NEUROSCIENCE
65,6.045,J CEREBR BLOOD F MET,26,1,6,4,1,3,3,2,1,0,1,4,NATURE REVIEWS NEUROSCIENCE
66,14.163,PROG NEUROBIOL,26,0,0,5,0,4,3,3,2,1,0,8,NATURE REVIEWS NEUROSCIENCE
67,6.239,STROKE,26,0,0,2,2,3,1,2,1,4,2,9,NATURE REVIEWS NEUROSCIENCE
68,3.082,AM J PHYSIOL-REG I,25,1,2,1,2,0,1,1,0,2,1,14,NATURE REVIEWS NEUROSCIENCE
69,27.144,LANCET NEUROL,25,1,1,5,2,4,2,1,2,1,1,5,NATURE REVIEWS NEUROSCIENCE
70, ,J AUTISM DEV DISORD,24,1,3,3,3,1,2,0,1,1,0,9,NATURE REVIEWS NEUROSCIENCE
71,4.249,NEUROPHARMACOLOGY,24,1,1,1,4,3,3,1,1,0,0,9,NATURE REVIEWS NEUROSCIENCE
72,3.955,PLOS COMPUT BIOL,24,1,0,4,1,3,3,5,3,1,1,2,NATURE REVIEWS NEUROSCIENCE
73,4.300,FRONT CELL NEUROSCI,23,2,1,11,6,3,0,0,0,0,0,0,NATURE REVIEWS NEUROSCIENCE
74,53.254,LANCET,23,0,2,2,2,2,0,0,0,1,1,13,NATURE REVIEWS NEUROSCIENCE
75,3.312,MOL CELL NEUROSCI,22,3,1,0,3,1,2,4,0,0,1,7,NATURE REVIEWS NEUROSCIENCE
