,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
63,6.158,PLOS PATHOG,52,0,4,5,10,10,5,2,6,3,4,3,EMBO JOURNAL
64,4.122,SCI REP-UK,51,2,18,16,3,5,5,2,0,0,0,0,EMBO JOURNAL
65,41.465,NAT REV GENET,50,1,2,3,5,8,7,4,4,1,2,13,EMBO JOURNAL
66,9.163,PLOS BIOL,50,0,2,0,7,5,4,5,3,3,6,15,EMBO JOURNAL
67,10.015,CURR OPIN CELL BIOL,49,0,2,10,4,5,4,2,4,2,3,13,EMBO JOURNAL
68,15.678,TRENDS BIOCHEM SCI,49,1,4,5,3,3,2,6,7,2,1,15,EMBO JOURNAL
69,4.368,J VIROL,47,0,2,3,3,5,3,4,2,1,2,22,EMBO JOURNAL
70,41.982,NAT REV IMMUNOL,47,0,1,4,8,8,3,7,2,4,1,9,EMBO JOURNAL
71,8.000,CELL DEATH DIFFER,44,0,7,9,6,5,5,1,3,2,1,5,EMBO JOURNAL
72,35.724,NAT BIOTECHNOL,44,0,4,5,1,1,2,4,5,2,8,12,EMBO JOURNAL
73,20.154,ANNU REV BIOCHEM,43,1,2,5,3,3,8,4,1,1,0,15,EMBO JOURNAL
74,2.997,BIOCHEMISTRY-US,43,0,1,2,0,2,3,1,2,4,3,25,EMBO JOURNAL
75,7.273,DIABETES,43,0,6,4,5,3,2,3,1,3,1,15,EMBO JOURNAL
76,10.101,GENOME RES,43,0,2,6,3,7,7,7,2,2,3,4,EMBO JOURNAL
77, ,METHOD MOL BIOL,43,2,3,1,8,4,4,5,3,4,3,6,EMBO JOURNAL
78,4.490,RNA,43,2,5,2,3,4,2,2,4,2,3,14,EMBO JOURNAL
79,79.260,NEW ENGL J MED,41,0,4,2,1,9,4,3,1,4,0,13,EMBO JOURNAL
80,2.559,BIOCHEM BIOPH RES CO,40,2,1,4,1,2,1,0,3,2,2,22,EMBO JOURNAL
81,9.247,CSH PERSPECT BIOL,40,1,0,1,7,13,7,6,5,0,0,0,EMBO JOURNAL
82,5.775,PLANT J,38,1,1,3,1,1,5,3,3,6,2,12,EMBO JOURNAL
83,15.876,ACTA NEUROPATHOL,37,3,3,9,1,10,2,1,2,0,1,5,EMBO JOURNAL
84,4.461,DNA REPAIR,36,0,1,4,6,3,2,4,4,3,0,9,EMBO JOURNAL
85,5.595,FASEB J,35,0,1,2,6,3,2,1,5,4,0,11,EMBO JOURNAL
86,5.949,PLANT PHYSIOL,35,0,3,2,0,4,2,2,4,1,2,15,EMBO JOURNAL
87,3.433,J STRUCT BIOL,34,0,2,5,0,2,5,0,1,0,0,19,EMBO JOURNAL
88, ,ONCOTARGET,34,3,14,11,4,0,1,0,1,0,0,0,EMBO JOURNAL
89,3.495,BIOPHYS J,32,0,3,1,2,1,2,2,2,2,3,14,EMBO JOURNAL
90,15.393,CELL RES,32,1,3,6,12,2,2,2,2,1,0,1,EMBO JOURNAL
91,1.984,METHOD ENZYMOL,32,2,0,3,1,0,1,0,3,2,3,17,EMBO JOURNAL
92,6.378,SCI SIGNAL,32,0,3,6,4,6,3,2,5,2,1,0,EMBO JOURNAL
93,3.309,EXP CELL RES,31,0,1,2,3,0,1,4,3,0,2,15,EMBO JOURNAL
94,13.843,NAT CHEM BIOL,30,1,3,2,3,4,3,4,3,2,4,1,EMBO JOURNAL
95,31.851,NAT REV MICROBIOL,30,3,4,6,2,3,3,2,2,3,0,2,EMBO JOURNAL
96,20.773,GASTROENTEROLOGY,29,2,1,1,1,2,5,2,3,1,1,10,EMBO JOURNAL
97,9.589,ANNU REV GENET,27,1,0,1,1,4,0,3,3,4,2,8,EMBO JOURNAL
98,15.211,CIRC RES,27,1,1,4,1,4,2,0,0,2,1,11,EMBO JOURNAL
99,4.907,STRUCTURE,27,1,4,1,2,0,2,0,6,0,2,9,EMBO JOURNAL
100,4.248,EUR J IMMUNOL,26,0,2,0,0,1,1,1,3,1,1,16,EMBO JOURNAL
