,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
67,6.217,J EXP CLIN CANC RES,38,2,3,5,9,1,3,2,3,2,4,4,Autophagy
68,3.098,MOLECULES,38,1,3,5,5,6,2,5,6,0,1,4,Autophagy
69,,TUMOR BIOL,38,0,4,6,6,2,7,4,1,3,4,1,Autophagy
70,15.545,ENDOCR REV,37,1,8,7,2,4,5,4,1,4,1,0,Autophagy
71,3.677,FRONT PLANT SCI,37,0,5,7,2,2,3,6,0,6,2,4,Autophagy
72,1.396,INT J CLIN EXP PATHO,37,2,5,3,5,3,4,5,1,3,4,2,Autophagy
73,3.077,MOL CELLS,37,4,8,3,7,2,0,2,1,6,2,2,Autophagy
74,5.540,PLOS GENET,37,1,7,6,0,4,5,2,2,1,3,6,Autophagy
75,2.936,RSC ADV,37,0,5,4,6,2,4,2,2,3,4,5,Autophagy
76,8.537,THERANOSTICS,37,1,6,6,8,2,3,3,3,2,2,1,Autophagy
77,3.394,FRONT PHYSIOL,36,3,8,1,2,1,8,5,4,2,0,2,Autophagy
78,0.833,INT J CLIN EXP MED,36,2,1,4,7,5,5,2,1,3,5,1,Autophagy
79,4.539,J IMMUNOL,36,0,3,8,5,8,1,3,0,3,3,2,Autophagy
80,14.248,MOL CELL,36,0,9,2,2,2,3,2,8,1,0,7,Autophagy
81,,AUTOPHAGYXB,35,0,0,0,0,0,1,4,7,6,7,10,Autophagy
82,8.032,CELL REP,35,1,5,6,5,5,3,1,2,3,0,4,Autophagy
83,9.251,CURR BIOL,35,1,2,7,3,2,4,5,5,4,2,0,Autophagy
84,4.530,FEBS J,35,0,5,9,4,5,2,2,1,3,3,1,Autophagy
85,8.749,EMBO REP,34,2,9,3,4,3,4,1,3,3,0,2,Autophagy
86,3.300,WORLD J GASTROENTERO,34,3,4,6,2,4,2,0,4,3,5,1,Autophagy
87,4.368,J VIROL,33,2,1,4,2,5,0,3,2,4,6,4,Autophagy
88,5.108,BBA-MOL BASIS DIS,32,0,4,4,2,5,4,4,4,2,2,1,Autophagy
89,8.806,BIOMATERIALS,32,0,5,3,7,1,3,2,1,2,3,5,Autophagy
90,2.583,BIOMED RES INT,32,1,6,5,2,6,3,3,1,0,2,3,Autophagy
91,3.495,CNS NEUROSCI THER,32,0,7,0,4,0,10,2,0,0,2,7,Autophagy
92,4.609,J NEUROCHEM,32,0,2,4,2,1,6,1,5,2,5,4,Autophagy
93,2.757,CURR PHARM DESIGN,31,0,4,3,3,3,4,5,4,1,0,4,Autophagy
94,3.679,BBA-GEN SUBJECTS,30,0,5,3,5,2,3,0,3,4,2,3,Autophagy
95,4.410,CELL MICROBIOL,30,1,2,3,6,6,4,3,1,3,0,1,Autophagy
96,3.043,CELL TISSUE RES,30,0,1,1,3,6,0,3,6,5,3,2,Autophagy
97,11.613,J PINEAL RES,30,2,0,8,3,2,3,0,5,0,4,3,Autophagy
98,,METHOD MOL BIOL,30,0,3,2,2,5,1,7,2,2,1,5,Autophagy
99,50.167,NAT REV DRUG DISCOV,30,0,6,5,5,4,3,2,2,0,2,1,Autophagy
100,14.319,NEURON,30,0,4,3,3,5,3,4,1,1,2,4,Autophagy
