,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
63,1.410,EXP THER MED,32,0,0,2,1,1,3,5,3,8,6,3,CELL RESEARCH
64,6.228,PROTEIN CELL,32,6,7,3,5,5,0,5,1,0,0,0,CELL RESEARCH
65,5.326,CANCERS,31,1,0,3,6,1,1,7,0,7,1,4,CELL RESEARCH
66,15.211,CIRC RES,31,0,7,5,6,3,0,4,0,2,1,3,CELL RESEARCH
67,4.530,FEBS J,31,0,2,5,4,5,1,5,1,1,4,3,CELL RESEARCH
68,2.498,GENE,31,0,0,0,3,2,8,2,0,5,2,9,CELL RESEARCH
69,9.462,GENE DEV,31,0,6,4,4,0,3,7,3,1,2,1,CELL RESEARCH
70,5.595,FASEB J,30,0,1,1,5,1,4,9,2,2,1,4,CELL RESEARCH
71,4.651,BBA-MOL CELL RES,28,0,6,1,5,0,2,2,2,5,1,4,CELL RESEARCH
72,8.806,BIOMATERIALS,28,2,2,2,4,2,4,5,0,2,1,4,CELL RESEARCH
73,9.130,CANCER RES,28,1,3,6,3,3,0,2,0,2,4,4,CELL RESEARCH
74,4.936,OXID MED CELL LONGEV,28,0,3,1,4,5,2,7,0,2,0,4,CELL RESEARCH
75,14.163,PROG NEUROBIOL,28,1,1,0,10,4,2,2,1,3,2,2,CELL RESEARCH
76,5.216,RNA BIOL,28,2,3,8,4,2,5,1,1,0,2,0,CELL RESEARCH
77,3.315,STEM CELLS DEV,28,1,1,2,3,1,7,4,1,3,2,3,CELL RESEARCH
78,3.469,CURR MED CHEM,27,0,1,1,1,3,1,4,3,1,5,7,CELL RESEARCH
79,4.300,FRONT CELL NEUROSCI,27,2,5,4,1,5,1,0,0,1,4,4,CELL RESEARCH
80,3.831,FRONT PHARMACOL,27,0,0,5,3,0,2,5,0,5,1,6,CELL RESEARCH
81,1.984,METHOD ENZYMOL,27,0,0,4,18,0,1,1,1,0,2,0,CELL RESEARCH
82,7.433,NEW PHYTOL,27,0,2,1,4,4,2,4,2,4,3,1,CELL RESEARCH
83,18.564,TRENDS CELL BIOL,27,0,3,5,8,0,1,4,2,2,0,2,CELL RESEARCH
84,2.757,CURR PHARM DESIGN,26,3,1,0,2,4,1,5,0,2,4,4,CELL RESEARCH
85,9.616,DEV CELL,26,0,2,5,5,7,2,2,0,1,1,1,CELL RESEARCH
86,3.902,STEM CELL RES,26,0,1,0,2,4,2,12,0,1,1,3,CELL RESEARCH
