,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
53,2.824,HEARING RES,182,3,5,7,12,7,6,19,1,8,10,104,JOURNAL OF NEUROSCIENCE
54,5.559,PAIN,180,1,11,14,6,13,8,14,13,6,8,86,JOURNAL OF NEUROSCIENCE
55,2.671,LEARN MEMORY,178,1,5,8,13,11,8,6,12,16,14,84,JOURNAL OF NEUROSCIENCE
56,3.222,PSYCHOPHARMACOLOGY,174,0,11,3,11,16,11,14,6,10,9,83,JOURNAL OF NEUROSCIENCE
57,14.163,PROG NEUROBIOL,169,3,5,7,9,11,11,11,7,3,6,96,JOURNAL OF NEUROSCIENCE
58,4.277,ANN NY ACAD SCI,167,1,6,4,3,5,6,14,14,8,15,91,JOURNAL OF NEUROSCIENCE
59,10.557,EMBO J,166,1,7,8,10,6,19,10,5,5,8,87,JOURNAL OF NEUROSCIENCE
60,4.122,SCI REP-UK,163,21,77,46,10,4,5,0,0,0,0,0,JOURNAL OF NEUROSCIENCE
61,2.871,FRONT HUM NEUROSCI,157,1,21,13,27,44,16,7,24,4,0,0,JOURNAL OF NEUROSCIENCE
62,3.312,MOL CELL NEUROSCI,150,5,6,4,4,5,9,12,6,9,8,82,JOURNAL OF NEUROSCIENCE
63,9.163,PLOS BIOL,150,3,8,18,9,7,7,16,9,9,12,52,JOURNAL OF NEUROSCIENCE
64,8.055,NEUROLOGY,148,1,7,6,6,8,9,7,2,9,4,89,JOURNAL OF NEUROSCIENCE
65,3.955,PLOS COMPUT BIOL,148,0,12,27,25,23,13,12,12,12,7,5,JOURNAL OF NEUROSCIENCE
66,11.640,MOL PSYCHIATR,145,10,24,18,11,14,10,6,6,3,4,39,JOURNAL OF NEUROSCIENCE
67,32.621,NAT MED,141,4,7,5,11,7,3,16,9,10,12,57,JOURNAL OF NEUROSCIENCE
68,2.507,BEHAV NEUROSCI,140,1,7,2,2,1,4,13,4,6,3,97,JOURNAL OF NEUROSCIENCE
69,2.662,J NEUROSCI RES,138,2,2,3,4,2,4,2,7,12,5,95,JOURNAL OF NEUROSCIENCE
70,13.251,J CLIN INVEST,136,2,7,10,12,10,10,13,11,6,6,49,JOURNAL OF NEUROSCIENCE
71,2.266,J VISION,136,1,7,11,15,18,11,13,7,19,5,29,JOURNAL OF NEUROSCIENCE
72,3.244,NEUROBIOL LEARN MEM,132,5,24,16,9,7,7,5,5,7,4,43,JOURNAL OF NEUROSCIENCE
73,1.266,NEUROREPORT,130,0,2,0,2,1,1,1,3,6,5,109,JOURNAL OF NEUROSCIENCE
74,26.919,NAT METHODS,127,3,1,8,8,10,39,18,8,9,8,15,JOURNAL OF NEUROSCIENCE
75, ,FRONT PSYCHOL,126,2,8,13,33,20,15,31,3,0,1,0,JOURNAL OF NEUROSCIENCE
76,27.125,NAT GENET,125,2,4,0,2,5,6,6,3,4,5,88,JOURNAL OF NEUROSCIENCE
77,4.454,NEUROBIOL AGING,125,4,7,11,17,11,18,7,6,3,6,35,JOURNAL OF NEUROSCIENCE
78,24.014,PHYSIOL REV,125,0,1,7,14,9,7,7,14,5,5,56,JOURNAL OF NEUROSCIENCE
79,4.300,FRONT CELL NEUROSCI,123,2,13,31,37,25,8,3,3,1,0,0,JOURNAL OF NEUROSCIENCE
