,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
47,9.251,CURR BIOL,121,6,7,14,12,13,10,13,12,11,3,20,NATURE REVIEWS MOLECULAR CELL BIOLOGY
48,2.999,FEBS LETT,120,4,7,13,7,10,11,3,9,11,5,40,NATURE REVIEWS MOLECULAR CELL BIOLOGY
49,6.020,FREE RADICAL BIO MED,120,0,6,5,22,4,19,3,10,7,8,36,NATURE REVIEWS MOLECULAR CELL BIOLOGY
50,2.976,ONCOL REP,120,0,2,0,21,2,11,0,8,4,12,60,NATURE REVIEWS MOLECULAR CELL BIOLOGY
51,14.357,J AM CHEM SOC,119,7,2,10,14,1,10,2,7,8,14,44,NATURE REVIEWS MOLECULAR CELL BIOLOGY
52,2.997,BIOCHEMISTRY-US,117,5,3,14,8,2,10,5,5,2,11,52,NATURE REVIEWS MOLECULAR CELL BIOLOGY
53,9.462,GENE DEV,116,9,15,16,12,7,8,13,7,9,5,15,NATURE REVIEWS MOLECULAR CELL BIOLOGY
54,4.936,OXID MED CELL LONGEV,116,2,6,5,17,8,10,6,4,3,6,49,NATURE REVIEWS MOLECULAR CELL BIOLOGY
55,5.595,FASEB J,115,0,1,2,6,9,15,7,6,10,12,47,NATURE REVIEWS MOLECULAR CELL BIOLOGY
56,9.247,CSH PERSPECT BIOL,114,0,4,2,20,4,10,10,5,16,9,34,NATURE REVIEWS MOLECULAR CELL BIOLOGY
57,41.577,NATURE,114,6,12,10,10,12,15,8,4,9,7,21,NATURE REVIEWS MOLECULAR CELL BIOLOGY
58,41.058,SCIENCE,114,5,12,13,5,8,13,6,7,12,9,24,NATURE REVIEWS MOLECULAR CELL BIOLOGY
59,12.102,ANGEW CHEM INT EDIT,113,4,2,8,7,7,11,3,5,9,15,42,NATURE REVIEWS MOLECULAR CELL BIOLOGY
60,3.923,J CELL PHYSIOL,110,0,4,4,6,8,11,8,4,10,6,49,NATURE REVIEWS MOLECULAR CELL BIOLOGY
61,19.064,NAT CELL BIOL,110,3,6,3,22,22,7,7,5,10,5,20,NATURE REVIEWS MOLECULAR CELL BIOLOGY
62,3.457,BIOMED PHARMACOTHER,109,1,2,3,19,6,5,6,6,6,13,42,NATURE REVIEWS MOLECULAR CELL BIOLOGY
63,3.394,FRONT PHYSIOL,109,2,7,3,5,7,11,5,3,10,10,46,NATURE REVIEWS MOLECULAR CELL BIOLOGY
64,3.813,MOL CELL BIOL,109,2,3,6,3,12,7,8,17,4,8,39,NATURE REVIEWS MOLECULAR CELL BIOLOGY
65,5.216,RNA BIOL,109,2,12,12,17,6,5,3,5,8,6,33,NATURE REVIEWS MOLECULAR CELL BIOLOGY
66,4.019,FRONT MICROBIOL,107,1,2,5,11,8,6,3,10,5,6,50,NATURE REVIEWS MOLECULAR CELL BIOLOGY
67,3.730,BMC GENOMICS,104,3,4,12,8,10,6,8,5,11,3,34,NATURE REVIEWS MOLECULAR CELL BIOLOGY
68,8.097,ACS APPL MATER INTER,103,0,2,2,4,3,3,8,10,19,6,46,NATURE REVIEWS MOLECULAR CELL BIOLOGY
69,6.158,PLOS PATHOG,102,1,1,3,6,8,11,2,6,11,12,41,NATURE REVIEWS MOLECULAR CELL BIOLOGY
70,4.416,FRONT ONCOL,101,1,3,4,11,7,25,6,8,3,11,22,NATURE REVIEWS MOLECULAR CELL BIOLOGY
71,7.126,REDOX BIOL,101,0,4,6,16,9,10,6,6,6,7,31,NATURE REVIEWS MOLECULAR CELL BIOLOGY
72,5.500,CELL PHYSIOL BIOCHEM,100,0,1,4,12,6,6,5,6,9,10,41,NATURE REVIEWS MOLECULAR CELL BIOLOGY
73,3.262,DEV BIOL,100,1,3,4,17,11,10,3,2,6,2,41,NATURE REVIEWS MOLECULAR CELL BIOLOGY
74,1.184,JOVE-J VIS EXP,100,1,8,8,14,5,3,7,7,6,12,29,NATURE REVIEWS MOLECULAR CELL BIOLOGY
75,3.857,BIOCHEM J,97,1,8,6,6,9,7,8,2,5,11,34,NATURE REVIEWS MOLECULAR CELL BIOLOGY
76,2.757,CURR PHARM DESIGN,94,0,5,2,2,4,14,7,8,9,4,39,NATURE REVIEWS MOLECULAR CELL BIOLOGY
