,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
66,11.021,TRENDS MOL MED,6,0,4,1,0,1,0,0,0,0,0,0,Protein & Cell
67,3.761,VIRUSES-BASEL,6,0,0,1,2,0,0,0,3,0,0,0,Protein & Cell
68,4.592,ACS CHEM BIOL,5,0,0,2,1,1,1,0,0,0,0,0,Protein & Cell
69,13.660,ADV DRUG DELIVER REV,5,0,0,2,1,0,2,0,0,0,0,0,Protein & Cell
70,6.530,ANTIOXID REDOX SIGN,5,0,1,2,2,0,0,0,0,0,0,0,Protein & Cell
71,2.160,ARCH VIROL,5,0,0,3,0,2,0,0,0,0,0,0,Protein & Cell
72,8.806,BIOMATERIALS,5,0,0,2,1,0,1,1,0,0,0,0,Protein & Cell
73,9.130,CANCER RES,5,0,0,0,2,0,0,2,1,0,0,0,Protein & Cell
74,3.469,CURR MED CHEM,5,0,1,1,1,0,0,1,1,0,0,0,Protein & Cell
75,5.413,DEVELOPMENT,5,0,0,1,1,0,2,1,0,0,0,0,Protein & Cell
76,4.530,FEBS J,5,0,1,0,0,1,0,1,2,0,0,0,Protein & Cell
77,3.289,FOOD FUNCT,5,0,0,1,2,1,0,1,0,0,0,0,Protein & Cell
78,2.349,FRONT BIOSCI-LANDMRK,5,0,0,1,0,1,2,1,0,0,0,0,Protein & Cell
79,3.877,FRONT NEUROSCI-SWITZ,5,1,0,1,0,2,0,0,1,0,0,0,Protein & Cell
80,3.333,INT J ONCOL,5,0,2,0,2,0,0,1,0,0,0,0,Protein & Cell
81,3.470,J FUNCT FOODS,5,0,0,0,1,4,0,0,0,0,0,0,Protein & Cell
82,6.253,J MED CHEM,5,0,1,1,0,0,1,2,0,0,0,0,Protein & Cell
83,3.549,MEDIAT INFLAMM,5,0,1,1,0,2,0,0,1,0,0,0,Protein & Cell
84,1.984,METHOD ENZYMOL,5,0,1,2,0,0,1,0,1,0,0,0,Protein & Cell
85,,METHOD MOL BIOL,5,0,0,0,0,1,3,0,1,0,0,0,Protein & Cell
86,3.563,MOL CELL ENDOCRINOL,5,0,0,0,0,4,1,0,0,0,0,0,Protein & Cell
87,6.158,PLOS PATHOG,5,0,0,1,0,2,0,1,1,0,0,0,Protein & Cell
88,3.086,REPRODUCTION,5,0,2,0,1,2,0,0,0,0,0,0,Protein & Cell
89,3.989,STEM CELLS INT,5,0,0,1,1,2,1,0,0,0,0,0,Protein & Cell
90,4.907,STRUCTURE,5,1,0,2,0,0,0,1,1,0,0,0,Protein & Cell
91,2.415,VIROL SIN,5,1,2,1,0,0,1,0,0,0,0,0,Protein & Cell
92,2.224,ACTA BIOCH BIOPH SIN,4,0,0,2,1,0,0,1,0,0,0,0,Protein & Cell
93,4.069,AM J PATHOL,4,0,0,0,2,0,2,0,0,0,0,0,Protein & Cell
94,3.633,APPL ENVIRON MICROB,4,0,0,1,0,2,1,0,0,0,0,0,Protein & Cell
95,3.340,APPL MICROBIOL BIOT,4,0,0,1,0,0,0,1,2,0,0,0,Protein & Cell
96,3.118,ARCH BIOCHEM BIOPHYS,4,0,1,1,1,0,0,1,0,0,0,0,Protein & Cell
97,11.100,AUTOPHAGY,4,0,0,0,1,1,1,1,0,0,0,0,Protein & Cell
98,3.679,BBA-GEN SUBJECTS,4,0,1,1,0,1,0,1,0,0,0,0,Protein & Cell
99,5.108,BBA-MOL BASIS DIS,4,0,1,0,1,0,0,2,0,0,0,0,Protein & Cell
100,3.495,BIOPHYS J,4,0,0,2,0,0,0,0,2,0,0,0,Protein & Cell
