,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
59,4.401,J CELL SCI,8,0,0,0,0,1,1,0,1,1,0,4,Journal of Molecular Cell Biology
60,3.512,MOL BIOL CELL,8,0,0,2,1,0,0,1,0,0,0,4,Journal of Molecular Cell Biology
61,4.597,MOL CANCER RES,8,0,2,1,1,0,0,0,1,0,1,2,Journal of Molecular Cell Biology
62,5.236,MOL CELL PROTEOMICS,8,0,0,0,1,1,0,0,1,1,1,3,Journal of Molecular Cell Biology
63,26.919,NAT METHODS,8,0,1,2,0,0,2,0,1,0,0,2,Journal of Molecular Cell Biology
64,12.423,NAT PROTOC,8,0,0,0,0,0,2,0,1,3,1,1,Journal of Molecular Cell Biology
65,4.122,SCI REP-UK,8,0,4,2,1,0,1,0,0,0,0,0,Journal of Molecular Cell Biology
66,8.855,AM J HUM GENET,7,1,0,0,1,0,2,0,1,0,0,2,Journal of Molecular Cell Biology
67,20.154,ANNU REV BIOCHEM,7,0,0,1,0,2,1,1,0,1,0,1,Journal of Molecular Cell Biology
68,11.984,BIOL PSYCHIAT,7,0,0,2,0,0,0,0,0,0,0,5,Journal of Molecular Cell Biology
69,3.730,BMC GENOMICS,7,1,0,1,0,3,0,0,1,0,1,0,Journal of Molecular Cell Biology
70,18.881,CIRCULATION,7,0,0,0,0,1,1,1,0,0,0,4,Journal of Molecular Cell Biology
71,6.023,DIABETOLOGIA,7,0,1,0,0,0,1,1,0,3,0,1,Journal of Molecular Cell Biology
72,3.961,ENDOCRINOLOGY,7,1,0,1,0,1,0,0,0,1,1,2,Journal of Molecular Cell Biology
73,2.498,GENE,7,0,0,0,0,0,0,1,0,0,0,6,Journal of Molecular Cell Biology
74,19.734,IMMUNITY,7,0,0,0,0,2,1,0,0,0,0,4,Journal of Molecular Cell Biology
75,3.923,J CELL PHYSIOL,7,0,0,1,0,0,1,0,1,0,1,3,Journal of Molecular Cell Biology
76,4.609,J NEUROCHEM,7,0,0,2,0,0,0,0,0,0,0,5,Journal of Molecular Cell Biology
77,5.365,MOL CANCER THER,7,0,2,1,0,0,0,0,0,2,1,1,Journal of Molecular Cell Biology
78,24.014,PHYSIOL REV,7,0,0,0,0,0,0,1,2,1,0,3,Journal of Molecular Cell Biology
79,6.378,SCI SIGNAL,7,0,0,0,1,4,0,1,1,0,0,0,Journal of Molecular Cell Biology
80,3.454,AM J PHYSIOL-CELL PH,6,0,0,0,1,0,0,0,0,0,0,5,Journal of Molecular Cell Biology
81,4.280,BBA-BIOENERGETICS,6,0,0,0,1,0,0,0,2,1,1,1,Journal of Molecular Cell Biology
82,5.108,BBA-MOL BASIS DIS,6,0,1,1,2,0,0,1,0,0,0,1,Journal of Molecular Cell Biology
83,3.288,BMC CANCER,6,0,1,0,1,0,0,2,0,2,0,0,Journal of Molecular Cell Biology
84,24.373,CANCER DISCOV,6,0,0,1,2,0,2,1,0,0,0,0,Journal of Molecular Cell Biology
85,5.072,CARCINOGENESIS,6,0,0,0,1,0,1,0,1,1,2,0,Journal of Molecular Cell Biology
86,6.290,CARDIOVASC RES,6,0,0,0,1,0,1,1,2,0,0,1,Journal of Molecular Cell Biology
87,20.565,CELL METAB,6,0,1,2,0,0,2,1,0,0,0,0,Journal of Molecular Cell Biology
88,6.721,CELL MOL LIFE SCI,6,0,1,0,1,1,1,0,0,0,0,2,Journal of Molecular Cell Biology
89,3.309,EXP CELL RES,6,0,4,0,1,0,0,0,0,0,0,1,Journal of Molecular Cell Biology
90,7.360,INT J CANCER,6,0,1,0,1,0,0,0,1,0,0,3,Journal of Molecular Cell Biology
91,3.678,MOL ENDOCRINOL,6,0,0,0,0,0,0,0,0,0,3,3,Journal of Molecular Cell Biology
92,11.640,MOL PSYCHIATR,6,0,0,1,0,0,1,2,0,0,1,1,Journal of Molecular Cell Biology
93,3.955,PLOS COMPUT BIOL,6,0,1,2,1,1,0,0,0,1,0,0,Journal of Molecular Cell Biology
94,4.490,RNA,6,0,0,0,0,0,0,2,1,2,0,1,Journal of Molecular Cell Biology
95,9.032,ANNU REV CELL DEV BI,5,0,0,0,0,1,0,0,0,0,1,3,Journal of Molecular Cell Biology
96,5.179,BBA-GENE REGUL MECH,5,0,0,1,0,1,0,0,2,0,0,1,Journal of Molecular Cell Biology
97,2.213,BMC BIOINFORMATICS,5,0,0,0,0,1,1,0,1,0,0,2,Journal of Molecular Cell Biology
98,6.810,BRIT J PHARMACOL,5,0,0,0,0,0,1,0,1,0,0,3,Journal of Molecular Cell Biology
99,5.638,CELL DEATH DIS,5,0,0,1,0,2,0,2,0,0,0,0,Journal of Molecular Cell Biology
100,8.749,EMBO REP,5,0,0,1,0,1,1,1,0,0,0,1,Journal of Molecular Cell Biology
