Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"89,413",14.319,13.540,16.076,3.041,387,8.5,7.4,0.217,8.380,82.17,25.29300,97.51000,NEURON
2016,"82,253",14.024,13.253,15.832,2.955,374,8.4,7.1,0.22658,8.618,91.44,26.01983,97.87600,NEURON
2015,"78,507",13.974,13.169,16.092,2.927,385,8.3,6.8,0.22223,8.421,80.00,25.32961,97.85200,NEURON
2014,"77,446",15.054,14.298,16.839,3.221,399,8.2,6.8,0.2232,8.682,84.46,24.99849,97.81700,NEURON
2013,"71,989",15.982,15.111,16.485,2.902,369,8.1,6.7,0.22596,8.682,83.47,24.90526,98.61100,NEURON
2012,"69,526",15.766,15.000,16.403,2.603,348,8.0,6.9,0.22819,8.763,82.76,Not Available,98.21400,NEURON
2011,"64,092",14.736,13.893,15.710,3.052,327,7.7,6.3,0.2275,8.508,85.02,Not Available,98.15600,NEURON
2010,"59,932",14.027,13.201,14.927,2.579,302,7.4,6.1,0.23746,8.265,87.09,Not Available,97.69900,NEURON
2009,"56,161",13.260,12.473,14.674,2.919,273,7.0,6.2,0.26182,8.265,89.38,Not Available,97.61900,NEURON
2008,"53,310",14.170,13.369,14.857,2.599,312,6.5,6.1,0.28702,8.296,89.10,Not Available,98.86900,NEURON
2007,"50,707",13.410,12.715,14.678,2.906,277,6.1,5.8,0.30079,7.884,85.56,Not Available,97.86700,NEURON
2006,"48,224",13.894,13.197,Not Available,2.922,294,5.8,5.6,Not Available,Not Available,89.12,Not Available,97.75000,NEURON
2005,"45,419",14.304,13.565,Not Available,2.895,325,5.5,5.5,Not Available,Not Available,86.15,Not Available,97.75000,NEURON
2004,"43,226",14.439,13.629,Not Available,2.672,314,5.4,5.1,Not Available,Not Available,91.40,Not Available,97.72700,NEURON
2003,"40,833",14.109,13.161,Not Available,3.288,351,5.4,4.9,Not Available,Not Available,84.62,Not Available,98.23200,NEURON
2002,"35,984",13.846,12.955,Not Available,2.947,357,5.3,5.0,Not Available,Not Available,85.43,Not Available,97.71600,NEURON
2001,"34,720",14.153,13.252,Not Available,2.949,313,5.2,4.6,Not Available,Not Available,84.66,Not Available,96.71700,NEURON
2000,"33,515",15.081,14.090,Not Available,2.796,265,5.1,4.5,Not Available,Not Available,84.91,Not Available,98.76800,NEURON
1999,"34,420",16.782,15.826,Not Available,2.756,270,4.8,4.4,Not Available,Not Available,81.11,Not Available,98.75600,NEURON
1998,"31,006",16.505,15.273,Not Available,2.625,261,4.5,4.1,Not Available,Not Available,78.54,Not Available,98.76200,NEURON
1997,"27,185",15.821,14.859,Not Available,2.369,217,4.1,4.1,Not Available,Not Available,81.11,Not Available,98.33300,NEURON
