Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,avgJifPercentile,Journal
2017,"10,316",6.378,6.286,7.251,1.364,162,5.0,7.8,0.037,3.241,92.59,4.34900,84.42900,Science Signaling
2016,"9,495",6.830,6.604,7.109,1.424,172,4.5,7.7,0.03996,3.227,96.51,4.58524,86.36100,Science Signaling
2015,"8,469",7.359,7.192,7.163,1.375,176,4.3,6.9,0.0439,3.310,94.89,5.00405,87.62200,Science Signaling
2014,"7,211",6.279,6.163,7.137,1.359,170,3.9,7.0,0.04714,3.309,92.94,5.27930,84.13300,Science Signaling
2013,"6,207",6.337,6.200,7.123,1.471,187,3.3,6.6,0.04691,3.425,95.72,5.17059,84.03500,Science Signaling
2012,"5,168",7.648,7.386,7.603,1.478,182,2.8,6.4,0.04051,3.624,95.60,Not Available,87.65400,Science Signaling
2011,"3,597",7.499,7.279,7.143,1.424,177,2.2,6.0,0.03235,3.809,93.79,Not Available,86.69600,Science Signaling
2010,"2,168",6.354,5.739,6.392,1.737,175,1.6,5.7,0.01772,3.172,89.71,Not Available,80.05600,Science Signaling
