,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
58,4.419,BIOESSAYS,112,0,18,12,7,8,10,7,7,7,5,31,NATURE CELL BIOLOGY
59,4.075,GENETICS,111,1,7,3,7,6,7,2,10,8,6,54,NATURE CELL BIOLOGY
60,3.923,J CELL PHYSIOL,110,0,5,9,8,10,1,8,8,10,8,43,NATURE CELL BIOLOGY
61,5.326,CANCERS,108,4,1,11,14,6,0,5,7,5,14,41,NATURE CELL BIOLOGY
62,13.251,J CLIN INVEST,107,1,5,14,6,15,10,10,5,11,4,26,NATURE CELL BIOLOGY
63,23.290,CELL STEM CELL,106,5,14,19,8,14,18,7,4,4,3,10,NATURE CELL BIOLOGY
64,3.857,BIOCHEM J,105,2,4,4,3,4,10,7,5,8,10,48,NATURE CELL BIOLOGY
65,7.776,MOL CANCER,105,0,6,7,11,11,4,3,16,11,12,24,NATURE CELL BIOLOGY
66,5.595,FASEB J,103,1,2,9,1,12,5,11,13,1,8,40,NATURE CELL BIOLOGY
67,3.813,MOL CELL BIOL,102,1,0,3,5,8,6,10,10,6,10,43,NATURE CELL BIOLOGY
68,1.922,MOL MED REP,102,0,2,4,1,4,7,14,6,13,9,42,NATURE CELL BIOLOGY
69,4.936,OXID MED CELL LONGEV,102,0,2,9,4,18,9,11,8,6,7,28,NATURE CELL BIOLOGY
70,5.666,PHILOS T R SOC B,100,2,4,12,5,7,6,8,7,15,3,31,NATURE CELL BIOLOGY
71,3.989,STEM CELLS INT,98,0,5,8,8,10,7,14,9,9,7,21,NATURE CELL BIOLOGY
72,3.333,INT J ONCOL,97,1,4,5,5,11,1,10,6,7,13,34,NATURE CELL BIOLOGY
73,2.959,J CELL BIOCHEM,97,0,5,8,5,5,6,7,4,8,12,37,NATURE CELL BIOLOGY
74,5.264,MOL ONCOL,97,4,9,6,9,10,9,7,4,8,10,21,NATURE CELL BIOLOGY
75,5.587,STEM CELLS,97,0,4,14,7,8,4,15,11,2,11,21,NATURE CELL BIOLOGY
76,2.999,FEBS LETT,96,1,2,9,6,7,5,12,7,8,10,29,NATURE CELL BIOLOGY
77,4.902,HUM MOL GENET,96,2,6,7,5,1,11,7,8,10,7,32,NATURE CELL BIOLOGY
78,,TUMOR BIOL,96,0,1,5,7,8,6,11,11,11,14,22,NATURE CELL BIOLOGY
79,41.058,SCIENCE,94,4,10,11,8,9,5,13,4,3,9,18,NATURE CELL BIOLOGY
80,3.457,BIOMED PHARMACOTHER,93,1,2,5,2,4,5,10,9,10,10,35,NATURE CELL BIOLOGY
81,3.394,FRONT PHYSIOL,93,1,4,8,3,10,5,7,7,5,6,37,NATURE CELL BIOLOGY
82,3.677,FRONT PLANT SCI,93,1,0,2,0,2,17,4,9,10,11,37,NATURE CELL BIOLOGY
