,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
55,11.561,NUCLEIC ACIDS RES,25,0,0,2,4,0,1,2,0,0,4,12,Annual Review of Cell and Developmental Biology
56,5.216,RNA BIOL,25,0,0,2,3,0,0,0,0,5,0,15,Annual Review of Cell and Developmental Biology
57,6.537,STEM CELL REP,25,0,0,0,7,4,1,1,3,2,1,6,Annual Review of Cell and Developmental Biology
58,2.997,BIOCHEMISTRY-US,24,0,1,3,3,0,1,1,2,0,1,12,Annual Review of Cell and Developmental Biology
59,4.368,J VIROL,24,0,0,3,2,0,0,0,3,2,2,12,Annual Review of Cell and Developmental Biology
60,8.228,PLANT CELL,24,0,1,0,1,1,3,1,1,2,1,13,Annual Review of Cell and Developmental Biology
61,3.989,STEM CELLS INT,24,0,1,1,5,1,1,3,0,1,0,11,Annual Review of Cell and Developmental Biology
62,4.432,ACS BIOMATER SCI ENG,23,0,0,1,1,0,0,3,6,1,0,11,Annual Review of Cell and Developmental Biology
63,2.217,BIOL OPEN,23,0,0,2,1,0,3,1,5,3,0,8,Annual Review of Cell and Developmental Biology
64,10.557,EMBO J,23,0,0,2,5,0,1,3,1,0,1,10,Annual Review of Cell and Developmental Biology
65,5.595,FASEB J,23,0,0,2,1,2,2,4,2,2,1,7,Annual Review of Cell and Developmental Biology
66,3.923,J CELL PHYSIOL,23,0,0,0,2,2,1,1,0,1,1,15,Annual Review of Cell and Developmental Biology
67,4.400,TRAFFIC,23,0,4,1,0,1,0,6,4,0,0,7,Annual Review of Cell and Developmental Biology
68,1.760,ADV EXP MED BIOL,22,0,0,0,2,0,2,0,0,0,0,18,Annual Review of Cell and Developmental Biology
69,4.651,BBA-MOL CELL RES,22,0,2,0,2,0,1,0,3,3,0,11,Annual Review of Cell and Developmental Biology
70,15.393,CELL RES,22,0,1,1,3,1,2,2,1,0,3,8,Annual Review of Cell and Developmental Biology
71,3.487,CELL SIGNAL,22,0,0,1,0,0,0,3,0,1,0,17,Annual Review of Cell and Developmental Biology
72,3.520,FRONT CELL INFECT MI,22,0,0,0,0,0,1,1,5,0,0,15,Annual Review of Cell and Developmental Biology
73,3.191,GENES-BASEL,22,0,2,1,3,0,2,2,0,1,2,9,Annual Review of Cell and Developmental Biology
74,1.184,JOVE-J VIS EXP,22,0,1,0,1,1,4,3,2,0,0,10,Annual Review of Cell and Developmental Biology
75,5.638,CELL DEATH DIS,21,0,0,0,1,0,0,7,1,0,0,12,Annual Review of Cell and Developmental Biology
76,5.971,J NEUROSCI,21,0,0,3,1,0,1,0,1,1,1,13,Annual Review of Cell and Developmental Biology
77,1.900,MECH DEVELOP,21,0,0,2,2,1,3,4,1,1,0,7,Annual Review of Cell and Developmental Biology
78,35.612,NAT REV MOL CELL BIO,21,0,2,2,5,1,2,2,3,0,0,4,Annual Review of Cell and Developmental Biology
79,4.936,OXID MED CELL LONGEV,21,0,1,0,4,0,1,5,0,1,1,8,Annual Review of Cell and Developmental Biology
80,41.058,SCIENCE,21,0,2,1,4,1,1,1,1,3,1,6,Annual Review of Cell and Developmental Biology
81,3.709,SOFT MATTER,21,0,0,0,1,0,2,4,0,3,0,11,Annual Review of Cell and Developmental Biology
82,5.587,STEM CELLS,20,0,0,0,3,1,1,2,1,4,0,8,Annual Review of Cell and Developmental Biology
