,Impact Factor,Cited Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
68,15.393,CELL RES,15,0,7,6,0,1,0,0,1,0,0,0,National Science Review
69,5.976,J MATER CHEM C,15,0,5,3,2,5,0,0,0,0,0,0,National Science Review
70,4.254,PHYS LETT B,15,2,1,0,0,0,0,0,0,0,0,12,National Science Review
71,2.936,RSC ADV,15,0,3,5,3,1,0,3,0,0,0,0,National Science Review
72,9.598,SMALL,15,0,4,5,1,1,2,1,0,1,0,0,National Science Review
73,2.369,SYNLETT,15,1,1,0,1,2,1,2,2,0,0,5,National Science Review
74,11.384,ACS CATAL,14,0,5,4,1,2,0,2,0,0,0,0,National Science Review
75,13.120,NANO ENERGY,14,1,6,3,2,1,1,0,0,0,0,0,National Science Review
76,7.233,NANOSCALE,14,0,1,3,2,3,4,1,0,0,0,0,National Science Review
77,8.846,REV MINERAL GEOCHEM,14,0,0,0,0,2,0,0,1,0,0,11,National Science Review
78,2.722,SYNTHESIS-STUTTGART,14,0,0,1,3,0,2,2,4,1,0,1,National Science Review
79,6.036,ACTA MATER,13,0,1,3,1,3,1,1,0,2,0,1,National Science Review
80,5.915,CHEM BIOL,13,0,0,1,1,1,3,0,2,1,1,3,National Science Review
81, ,ELECTROCHEM SOLID ST,13,0,0,0,0,0,1,2,1,0,0,9,National Science Review
82,2.176,J APPL PHYS,13,0,0,2,0,1,0,2,3,0,1,4,National Science Review
83,1.566,J ELECTRON MATER,13,0,1,2,5,0,0,3,1,1,0,0,National Science Review
84,3.482,J GEOPHYS RES-SOL EA,13,2,0,0,0,0,0,2,0,0,0,9,National Science Review
85,2.281,J MACH LEARN RES,13,0,1,0,4,1,1,1,0,0,2,3,National Science Review
86,35.724,NAT BIOTECHNOL,13,0,2,6,2,0,0,1,1,0,0,1,National Science Review
87,7.082,CARBON,12,0,5,1,0,0,0,1,4,0,1,0,National Science Review
88,3.283,CLASSICAL QUANT GRAV,12,0,2,0,0,4,0,0,2,1,0,3,National Science Review
89,4.660,ELECTROCHEM COMMUN,12,0,0,3,1,0,2,1,1,2,0,2,National Science Review
90,8.440,ENVIRON HEALTH PERSP,12,0,1,1,1,0,2,0,3,1,0,3,National Science Review
91,2.836,J PHYS CHEM A,12,0,0,1,1,0,1,0,2,2,0,5,National Science Review
92,8.709,J PHYS CHEM LETT,12,0,4,2,0,2,0,2,2,0,0,0,National Science Review
93,14.391,NAT GEOSCI,12,0,0,3,4,0,0,4,0,0,1,0,National Science Review
94, ,THESIS,12,0,0,1,1,1,0,0,1,3,0,5,National Science Review
95,41.465,NAT REV GENET,11,1,1,2,2,1,1,1,0,0,0,2,National Science Review
96,4.448,SCI CHINA CHEM,11,0,7,2,1,0,1,0,0,0,0,0,National Science Review
97,3.817,ATMOS RES,10,0,4,1,1,2,0,0,0,0,1,1,National Science Review
98,10.199,CLIN CANCER RES,10,1,0,1,0,2,4,0,2,0,0,0,National Science Review
99,2.297,J AM STAT ASSOC,10,0,0,0,0,0,0,0,0,0,2,8,National Science Review
100,3.146,J PHYS CHEM B,10,0,0,0,0,0,0,0,0,0,0,10,National Science Review
