,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
62,4.485,BIOCONJUGATE CHEM,307,6,31,20,40,48,35,28,21,20,8,50,BIOMATERIALS
63,3.779,J ALLOY COMPD,305,0,6,9,9,9,6,14,24,18,11,199,BIOMATERIALS
64,3.741,EUR POLYM J,303,3,10,12,24,13,20,14,31,20,23,133,BIOMATERIALS
65,5.553,EXPERT OPIN DRUG DEL,303,0,15,50,50,37,28,28,23,17,6,49,BIOMATERIALS
66,4.039,DENT MATER,302,1,4,9,9,15,11,9,13,26,9,196,BIOMATERIALS
67,1.901,J APPL POLYM SCI,302,1,7,6,11,9,18,10,20,19,19,182,BIOMATERIALS
68,3.504,NANOMATERIALS-BASEL,298,3,19,17,27,35,22,28,27,15,13,92,BIOMATERIALS
69,2.127,INT J POLYM MATER PO,277,0,1,6,10,13,13,12,18,14,18,172,BIOMATERIALS
70,3.483,POLYMER,272,0,15,14,14,24,9,20,20,16,16,124,BIOMATERIALS
71,2.583,BIOMED RES INT,266,2,6,16,24,18,15,28,22,21,14,100,BIOMATERIALS
72,3.026,ARTIF CELL NANOMED B,261,0,0,5,28,24,22,12,22,21,18,109,BIOMATERIALS
73,1.354,J NANOSCI NANOTECHNO,259,3,3,12,15,14,17,35,24,23,14,99,BIOMATERIALS
74,4.491,EUR J PHARM BIOPHARM,255,0,9,12,28,38,33,22,29,15,8,61,BIOMATERIALS
75,3.466,EUR J PHARM SCI,251,2,11,18,30,27,31,24,14,23,12,59,BIOMATERIALS
76,2.687,MATER LETT,247,1,6,7,13,14,18,20,18,14,9,127,BIOMATERIALS
77,24.558,PROG POLYM SCI,243,3,11,13,25,19,15,23,23,16,12,83,BIOMATERIALS
78,7.346,ADV COLLOID INTERFAC,237,5,17,14,16,24,19,23,25,13,13,68,BIOMATERIALS
79,4.525,MATER DESIGN,237,5,10,12,6,8,16,19,16,8,8,129,BIOMATERIALS
80,3.201,NEW J CHEM,237,8,8,15,10,21,28,28,25,17,9,68,BIOMATERIALS
81,,NANO STR MED,231,0,4,13,22,25,22,34,22,14,13,62,BIOMATERIALS
82,3.404,NANOTECHNOLOGY,231,5,12,15,32,27,31,29,22,15,9,34,BIOMATERIALS
83,6.350,WIRES NANOMED NANOBI,230,0,18,36,45,30,27,25,13,6,6,24,BIOMATERIALS
84,9.890,CHEM MATER,228,6,22,26,29,25,21,16,19,12,4,48,BIOMATERIALS
85,3.098,MOLECULES,226,1,13,13,23,22,18,23,25,13,18,57,BIOMATERIALS
86,6.042,ANAL CHEM,217,5,24,31,24,19,23,17,18,8,8,40,BIOMATERIALS
87,2.683,J TISSUE ENG,215,3,6,12,13,23,5,23,16,28,7,79,BIOMATERIALS
88,5.667,SENSOR ACTUAT B-CHEM,213,2,9,27,15,11,33,28,12,16,5,55,BIOMATERIALS
89,8.173,BIOSENS BIOELECTRON,209,2,12,17,13,16,34,31,17,10,9,48,BIOMATERIALS
90,12.353,NAT COMMUN,203,3,16,18,28,27,18,15,21,11,8,38,BIOMATERIALS
91,6.290,CHEM COMMUN,200,5,25,18,28,26,20,24,10,10,1,33,BIOMATERIALS
92,3.507,BIOTECHNOL J,198,1,12,24,29,15,16,25,19,16,6,35,BIOMATERIALS
93,5.995,LAB CHIP,196,4,9,20,32,16,19,12,22,8,9,45,BIOMATERIALS
94,2.137,POLYM ADVAN TECHNOL,196,0,2,3,14,8,8,11,13,13,7,117,BIOMATERIALS
95,3.709,SOFT MATTER,196,1,6,10,17,14,9,15,19,13,13,79,BIOMATERIALS
96,,ACS OMEGA,195,1,12,9,11,12,19,18,12,17,13,71,BIOMATERIALS
97,3.989,STEM CELLS INT,189,6,10,12,16,21,20,18,15,18,5,48,BIOMATERIALS
98,5.914,MACROMOLECULES,186,4,5,7,7,11,14,12,20,15,9,82,BIOMATERIALS
99,,SPRING SER BIOMAT S,184,0,0,0,0,1,4,21,18,5,8,127,BIOMATERIALS
100,2.297,J DRUG DELIV SCI TEC,183,1,11,17,19,19,12,12,9,21,12,50,BIOMATERIALS
