,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
54,5.076,MOL NEUROBIOL,202,0,2,5,6,6,8,4,14,10,21,126,JOURNAL OF CELL BIOLOGY
55,2.999,FEBS LETT,200,2,12,10,4,12,13,8,20,9,7,103,JOURNAL OF CELL BIOLOGY
56,31.398,CELL,197,4,6,14,6,19,11,8,13,6,4,106,JOURNAL OF CELL BIOLOGY
57,3.923,J CELL PHYSIOL,194,0,3,7,3,6,6,4,19,6,10,130,JOURNAL OF CELL BIOLOGY
58,3.813,MOL CELL BIOL,192,1,7,10,5,8,11,14,7,4,22,103,JOURNAL OF CELL BIOLOGY
59,3.857,BIOCHEM J,188,0,10,10,10,11,9,8,8,7,9,106,JOURNAL OF CELL BIOLOGY
60,3.394,FRONT PHYSIOL,186,1,3,1,2,7,4,12,15,5,4,132,JOURNAL OF CELL BIOLOGY
61,3.312,MOL CELL NEUROSCI,175,0,2,2,3,10,4,4,4,6,5,135,JOURNAL OF CELL BIOLOGY
62,2.217,BIOL OPEN,174,2,3,7,8,5,13,9,12,11,11,93,JOURNAL OF CELL BIOLOGY
63,2.939,EUR J CELL BIOL,169,0,5,1,13,6,8,5,8,10,7,106,JOURNAL OF CELL BIOLOGY
64,8.749,EMBO REP,168,1,9,6,8,10,9,10,11,8,16,80,JOURNAL OF CELL BIOLOGY
65,1.184,JOVE-J VIS EXP,166,0,6,5,10,10,12,5,10,10,3,95,JOURNAL OF CELL BIOLOGY
66,2.451,CYTOSKELETON,164,0,1,6,5,5,7,8,8,5,3,116,JOURNAL OF CELL BIOLOGY
67,4.419,BIOESSAYS,163,5,7,11,10,9,2,10,9,6,8,86,JOURNAL OF CELL BIOLOGY
68,5.216,RNA BIOL,163,0,12,4,7,5,0,6,7,1,5,116,JOURNAL OF CELL BIOLOGY
69,1.760,ADV EXP MED BIOL,160,0,4,1,3,5,3,4,6,7,7,120,JOURNAL OF CELL BIOLOGY
70,5.797,COMPR PHYSIOL,159,0,3,1,5,1,2,4,9,4,10,120,JOURNAL OF CELL BIOLOGY
71,4.966,BBA-MOL CELL BIOL L,158,0,19,19,11,2,5,12,3,14,13,60,JOURNAL OF CELL BIOLOGY
72,3.394,BIOCHEM SOC T,157,0,9,7,6,10,8,5,10,5,10,87,JOURNAL OF CELL BIOLOGY
73,2.959,J CELL BIOCHEM,154,0,1,4,3,4,6,5,2,6,6,117,JOURNAL OF CELL BIOLOGY
74,3.043,CELL TISSUE RES,152,0,2,8,7,1,11,10,15,6,8,84,JOURNAL OF CELL BIOLOGY
75,3.487,CELL SIGNAL,149,0,4,3,4,4,9,3,7,3,8,104,JOURNAL OF CELL BIOLOGY
76,1.922,MOL MED REP,148,0,0,6,2,4,6,5,5,5,5,110,JOURNAL OF CELL BIOLOGY
77,3.679,BBA-GEN SUBJECTS,146,2,1,8,3,5,2,1,4,2,3,115,JOURNAL OF CELL BIOLOGY
78,9.032,ANNU REV CELL DEV BI,145,0,5,10,4,9,1,8,8,3,7,90,JOURNAL OF CELL BIOLOGY
79,3.226,BIOL CELL,145,2,4,9,6,5,7,7,7,4,8,86,JOURNAL OF CELL BIOLOGY
80,8.806,BIOMATERIALS,145,1,4,7,2,5,14,2,15,4,1,90,JOURNAL OF CELL BIOLOGY
81,3.520,FRONT CELL INFECT MI,143,1,1,0,0,2,3,6,9,3,10,108,JOURNAL OF CELL BIOLOGY
82,8.000,CELL DEATH DIFFER,142,3,5,3,3,5,7,5,10,6,9,86,JOURNAL OF CELL BIOLOGY
83,,RESULTS PROBL CELL D,141,0,3,6,3,5,4,9,8,4,8,91,JOURNAL OF CELL BIOLOGY
