,Impact Factor,Citing Journal,All Yrs,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,Rest,Journal
47,4.530,FEBS J,107,0,4,5,1,10,12,7,6,11,4,47,NATURE STRUCTURAL & MOLECULAR BIOLOGY
48,8.784,J CELL BIOL,107,2,5,10,8,15,9,9,11,7,7,24,NATURE STRUCTURAL & MOLECULAR BIOLOGY
49,3.902,FRONT MOL NEUROSCI,105,2,9,8,5,4,7,12,8,3,11,36,NATURE STRUCTURAL & MOLECULAR BIOLOGY
50,20.154,ANNU REV BIOCHEM,104,1,11,19,8,8,9,3,7,6,4,28,NATURE STRUCTURAL & MOLECULAR BIOLOGY
51,5.511,FRONT IMMUNOL,102,7,4,11,5,15,8,5,6,7,7,27,NATURE STRUCTURAL & MOLECULAR BIOLOGY
52,6.253,J MED CHEM,102,1,7,5,3,4,6,15,6,2,2,51,NATURE STRUCTURAL & MOLECULAR BIOLOGY
53,4.419,BIOESSAYS,99,6,12,7,13,8,6,4,9,5,6,23,NATURE STRUCTURAL & MOLECULAR BIOLOGY
54,13.843,NAT CHEM BIOL,95,2,4,12,11,8,7,3,1,3,4,40,NATURE STRUCTURAL & MOLECULAR BIOLOGY
55,3.813,MOL CELL BIOL,94,2,5,13,5,17,4,4,11,6,4,23,NATURE STRUCTURAL & MOLECULAR BIOLOGY
56,3.679,BBA-GEN SUBJECTS,89,1,0,3,4,2,8,10,3,6,6,46,NATURE STRUCTURAL & MOLECULAR BIOLOGY
57,4.401,J CELL SCI,89,2,10,4,8,9,5,8,5,9,5,24,NATURE STRUCTURAL & MOLECULAR BIOLOGY
58,12.102,ANGEW CHEM INT EDIT,87,1,7,10,2,1,3,3,5,4,2,49,NATURE STRUCTURAL & MOLECULAR BIOLOGY
59,2.609,BBA-PROTEINS PROTEOM,87,1,3,3,4,7,2,7,5,2,5,48,NATURE STRUCTURAL & MOLECULAR BIOLOGY
60,3.955,PLOS COMPUT BIOL,87,0,4,4,4,8,8,8,1,10,3,37,NATURE STRUCTURAL & MOLECULAR BIOLOGY
61,8.749,EMBO REP,85,2,8,6,7,8,10,6,8,6,3,21,NATURE STRUCTURAL & MOLECULAR BIOLOGY
62,52.613,CHEM REV,84,1,3,5,4,2,2,7,4,0,6,50,NATURE STRUCTURAL & MOLECULAR BIOLOGY
63,3.098,MOLECULES,83,0,3,2,3,4,1,1,1,2,2,64,NATURE STRUCTURAL & MOLECULAR BIOLOGY
64,4.592,ACS CHEM BIOL,82,2,4,10,8,7,4,2,6,3,6,30,NATURE STRUCTURAL & MOLECULAR BIOLOGY
65,6.158,PLOS PATHOG,79,1,7,4,1,7,9,7,4,10,6,23,NATURE STRUCTURAL & MOLECULAR BIOLOGY
66,3.677,FRONT PLANT SCI,76,3,4,8,2,5,6,5,6,10,4,23,NATURE STRUCTURAL & MOLECULAR BIOLOGY
67,13.214,GENOME BIOL,76,1,6,2,12,15,8,9,6,4,2,11,NATURE STRUCTURAL & MOLECULAR BIOLOGY
68,3.438,BBA-BIOMEMBRANES,75,0,6,4,6,3,4,4,3,4,6,35,NATURE STRUCTURAL & MOLECULAR BIOLOGY
69,1.984,METHOD ENZYMOL,75,1,6,6,6,8,7,7,9,5,2,18,NATURE STRUCTURAL & MOLECULAR BIOLOGY
70,3.099,ACTA CRYSTALLOGR D,74,2,5,9,3,2,3,2,1,5,1,41,NATURE STRUCTURAL & MOLECULAR BIOLOGY
71,10.101,GENOME RES,74,1,3,3,13,14,8,9,9,4,2,8,NATURE STRUCTURAL & MOLECULAR BIOLOGY
72,10.556,TRENDS GENET,74,6,7,6,9,16,5,5,1,6,3,10,NATURE STRUCTURAL & MOLECULAR BIOLOGY
73,3.512,MOL BIOL CELL,71,3,5,7,3,4,3,6,8,2,7,23,NATURE STRUCTURAL & MOLECULAR BIOLOGY
74,3.730,BMC GENOMICS,68,0,1,5,2,11,6,6,8,8,5,16,NATURE STRUCTURAL & MOLECULAR BIOLOGY
75,6.689,MBIO,68,3,5,3,8,8,2,1,8,6,4,20,NATURE STRUCTURAL & MOLECULAR BIOLOGY
76,3.816,MOL MICROBIOL,68,1,7,3,1,4,3,3,8,5,3,30,NATURE STRUCTURAL & MOLECULAR BIOLOGY
77,3.107,J BIOMOL STRUCT DYN,67,0,0,0,1,2,3,1,3,5,3,49,NATURE STRUCTURAL & MOLECULAR BIOLOGY
78,3.394,BIOCHEM SOC T,66,1,6,4,5,7,5,1,4,8,4,21,NATURE STRUCTURAL & MOLECULAR BIOLOGY
79,2.274,PROTEINS,66,0,2,2,1,3,2,0,3,4,3,46,NATURE STRUCTURAL & MOLECULAR BIOLOGY
80,5.279,CRIT REV BIOCHEM MOL,64,3,5,3,8,8,4,3,6,4,2,18,NATURE STRUCTURAL & MOLECULAR BIOLOGY
81,6.854,ONCOGENE,63,0,5,1,2,7,8,7,9,3,1,20,NATURE STRUCTURAL & MOLECULAR BIOLOGY
82,4.075,GENETICS,62,4,1,1,5,5,6,4,8,6,5,17,NATURE STRUCTURAL & MOLECULAR BIOLOGY
83,11.511,SCI ADV,61,1,3,8,7,10,3,2,5,3,5,14,NATURE STRUCTURAL & MOLECULAR BIOLOGY
84,11.742,ANNU REV BIOPHYS,60,0,3,10,3,4,1,5,1,4,7,22,NATURE STRUCTURAL & MOLECULAR BIOLOGY
85,3.909,INT J BIOL MACROMOL,60,0,1,0,0,1,1,1,5,2,4,45,NATURE STRUCTURAL & MOLECULAR BIOLOGY
86,3.804,J CHEM INF MODEL,59,0,1,2,3,5,1,1,3,0,1,42,NATURE STRUCTURAL & MOLECULAR BIOLOGY
87,5.399,J CHEM THEORY COMPUT,58,0,1,5,1,1,2,4,3,0,1,40,NATURE STRUCTURAL & MOLECULAR BIOLOGY
88,6.138,SEMIN CELL DEV BIOL,58,0,4,0,5,10,9,3,5,8,2,12,NATURE STRUCTURAL & MOLECULAR BIOLOGY
89,3.761,VIRUSES-BASEL,58,1,3,4,4,8,0,3,11,7,3,14,NATURE STRUCTURAL & MOLECULAR BIOLOGY
90,3.118,ARCH BIOCHEM BIOPHYS,57,1,4,1,0,1,4,3,9,1,1,32,NATURE STRUCTURAL & MOLECULAR BIOLOGY
91,15.393,CELL RES,57,2,7,6,4,9,3,7,4,4,0,11,NATURE STRUCTURAL & MOLECULAR BIOLOGY
92,5.179,BBA-GENE REGUL MECH,56,1,4,0,2,5,7,6,6,7,3,15,NATURE STRUCTURAL & MOLECULAR BIOLOGY
93,6.290,CHEM COMMUN,56,0,4,4,1,3,4,1,5,1,2,31,NATURE STRUCTURAL & MOLECULAR BIOLOGY
94,5.351,EPIGENET CHROMATIN,55,1,0,2,2,11,11,5,4,4,2,13,NATURE STRUCTURAL & MOLECULAR BIOLOGY
95,9.616,DEV CELL,54,0,1,4,2,7,9,3,7,2,2,17,NATURE STRUCTURAL & MOLECULAR BIOLOGY
96,3.286,OPEN BIOL,54,0,7,5,3,6,6,6,3,3,8,7,NATURE STRUCTURAL & MOLECULAR BIOLOGY
97,1.870,BIOPHYS CHEM,53,0,6,0,6,8,4,1,7,4,0,17,NATURE STRUCTURAL & MOLECULAR BIOLOGY
98,2.843,J CHEM PHYS,52,0,3,0,0,0,1,1,0,2,3,42,NATURE STRUCTURAL & MOLECULAR BIOLOGY
99,1.760,ADV EXP MED BIOL,51,0,2,3,5,5,4,3,2,4,1,22,NATURE STRUCTURAL & MOLECULAR BIOLOGY
100,4.816,EUR J MED CHEM,51,1,0,0,0,2,3,2,5,1,5,32,NATURE STRUCTURAL & MOLECULAR BIOLOGY
